Sample,Stiffness (MPa),Strength (MPa)
CQAA20161004_U1_Fail 10052016 083108_tdf,1.07994256070984,0.197161001384861
DSAA20151123_U1_Fail 11272015 010730_tdf,2.17028899346616,0.279802409172617
DSAA20151123_U2_Fail 11272015 011614_tdf,1.86918878574618,0.381160515383021
DSAA20151123_U3_Fail 11272015 012349_tdf,1.2300933132379,0.221288850395639
HSAA20160503_U1_Fail 05132016 045507_tdf,2.54793740726244,0.380434098450924
HSAA20160503_U2_Fail 05132016 050106_tdf,1.1962013722691,0.215624188834795
HSAA20160503_U3_Fail 05132016 050808_tdf,3.67146749547256,0.474807265153459
TCAA_20150320_Fail 08052015 041616_tdf,3.53249214640899,2.93868421186683
GBAA20160114_U1,3.79203612985529,0.834722977984112
MHAA20151125_U1,4.58840276176509,0.605420308575284
MHAA20151125_U2,1.99954046079632,0.244688640240905
MHAA20151125_U3,6.40436003617386,2.1079886482903
