Time,Displacement,Force
         0.0000,  -5.999927,    0.027,
         0.0500,  -5.999352,    0.027,
         0.1000,  -5.996576,    0.027,
         0.1500,  -5.992557,    0.027,
         0.2000,  -5.988525,    0.028,
         0.2500,  -5.984377,    0.028,
         0.3000,  -5.980295,    0.028,
         0.3500,  -5.976048,    0.028,
         0.4000,  -5.971765,    0.028,
         0.4500,  -5.967714,    0.028,
         0.5000,  -5.963444,    0.029,
         0.5500,  -5.959265,    0.029,
         0.6000,  -5.955176,    0.029,
         0.6500,  -5.950915,    0.029,
         0.7000,  -5.946809,    0.030,
         0.7500,  -5.942673,    0.030,
         0.8000,  -5.938480,    0.030,
         0.8500,  -5.934118,    0.030,
         0.9000,  -5.929965,    0.030,
         0.9500,  -5.925717,    0.030,
         1.0000,  -5.921595,    0.031,
         1.0500,  -5.917415,    0.031,
         1.1000,  -5.913319,    0.031,
         1.1500,  -5.909184,    0.032,
         1.2000,  -5.904920,    0.032,
         1.2500,  -5.900816,    0.032,
         1.3000,  -5.896654,    0.032,
         1.3500,  -5.892356,    0.033,
         1.4000,  -5.888282,    0.033,
         1.4500,  -5.884091,    0.033,
         1.5000,  -5.879955,    0.033,
         1.5500,  -5.875759,    0.033,
         1.6000,  -5.871416,    0.034,
         1.6500,  -5.867220,    0.034,
         1.7000,  -5.863132,    0.034,
         1.7500,  -5.858896,    0.034,
         1.8000,  -5.854814,    0.035,
         1.8500,  -5.850519,    0.035,
         1.9000,  -5.846437,    0.035,
         1.9500,  -5.842331,    0.035,
         2.0000,  -5.838226,    0.035,
         2.0500,  -5.833878,    0.035,
         2.1000,  -5.829826,    0.036,
         2.1500,  -5.825707,    0.036,
         2.2000,  -5.821370,    0.036,
         2.2500,  -5.817344,    0.036,
         2.3000,  -5.813053,    0.037,
         2.3500,  -5.808821,    0.037,
         2.4000,  -5.804578,    0.037,
         2.4500,  -5.800501,    0.037,
         2.5000,  -5.796379,    0.037,
         2.5500,  -5.792143,    0.037,
         2.6000,  -5.787994,    0.037,
         2.6500,  -5.783872,    0.038,
         2.7000,  -5.779698,    0.038,
         2.7500,  -5.775414,    0.038,
         2.8000,  -5.771419,    0.039,
         2.8500,  -5.767290,    0.039,
         2.9000,  -5.763079,    0.039,
         2.9500,  -5.758903,    0.039,
         3.0000,  -5.754449,    0.039,
         3.0500,  -5.750437,    0.039,
         3.1000,  -5.746277,    0.040,
         3.1500,  -5.741986,    0.040,
         3.2000,  -5.737980,    0.040,
         3.2500,  -5.733747,    0.041,
         3.3000,  -5.729541,    0.041,
         3.3500,  -5.725512,    0.041,
         3.4000,  -5.721326,    0.041,
         3.4500,  -5.717118,    0.041,
         3.5000,  -5.712963,    0.042,
         3.5500,  -5.708866,    0.042,
         3.6000,  -5.704685,    0.042,
         3.6500,  -5.700501,    0.043,
         3.7000,  -5.696201,    0.043,
         3.7500,  -5.691884,    0.043,
         3.8000,  -5.687848,    0.043,
         3.8500,  -5.683724,    0.043,
         3.9000,  -5.679512,    0.043,
         3.9500,  -5.675308,    0.043,
         4.0000,  -5.671207,    0.044,
         4.0500,  -5.667106,    0.044,
         4.1000,  -5.662914,    0.044,
         4.1500,  -5.658653,    0.045,
         4.2000,  -5.654611,    0.045,
         4.2500,  -5.650433,    0.045,
         4.3000,  -5.646333,    0.045,
         4.3500,  -5.642063,    0.045,
         4.4000,  -5.637783,    0.046,
         4.4500,  -5.633580,    0.046,
         4.5000,  -5.629515,    0.046,
         4.5500,  -5.625238,    0.047,
         4.6000,  -5.621175,    0.047,
         4.6500,  -5.616967,    0.047,
         4.7000,  -5.612761,    0.047,
         4.7500,  -5.608703,    0.047,
         4.8000,  -5.604522,    0.047,
         4.8500,  -5.600389,    0.048,
         4.9000,  -5.596134,    0.048,
         4.9500,  -5.592147,    0.048,
         5.0000,  -5.587861,    0.049,
         5.0500,  -5.583630,    0.049,
         5.1000,  -5.579474,    0.049,
         5.1500,  -5.575256,    0.049,
         5.2000,  -5.570955,    0.050,
         5.2500,  -5.567022,    0.050,
         5.3000,  -5.562666,    0.050,
         5.3500,  -5.558630,    0.050,
         5.4000,  -5.554453,    0.051,
         5.4500,  -5.550267,    0.051,
         5.5000,  -5.546173,    0.051,
         5.5500,  -5.541856,    0.051,
         5.6000,  -5.537863,    0.051,
         5.6500,  -5.533695,    0.052,
         5.7000,  -5.529368,    0.052,
         5.7500,  -5.525265,    0.052,
         5.8000,  -5.521036,    0.053,
         5.8500,  -5.516904,    0.053,
         5.9000,  -5.512666,    0.054,
         5.9500,  -5.508505,    0.054,
         6.0000,  -5.504341,    0.054,
         6.0500,  -5.500281,    0.054,
         6.1000,  -5.496103,    0.054,
         6.1500,  -5.491875,    0.055,
         6.2000,  -5.487800,    0.055,
         6.2500,  -5.483537,    0.055,
         6.3000,  -5.479377,    0.055,
         6.3500,  -5.475372,    0.056,
         6.4000,  -5.470840,    0.056,
         6.4500,  -5.466858,    0.056,
         6.5000,  -5.462620,    0.056,
         6.5500,  -5.458473,    0.056,
         6.6000,  -5.454324,    0.057,
         6.6500,  -5.450220,    0.057,
         6.7000,  -5.445999,    0.057,
         6.7500,  -5.441853,    0.058,
         6.8000,  -5.437620,    0.058,
         6.8500,  -5.433546,    0.058,
         6.9000,  -5.429435,    0.058,
         6.9500,  -5.425257,    0.058,
         7.0000,  -5.420982,    0.059,
         7.0500,  -5.416802,    0.059,
         7.1000,  -5.412524,    0.060,
         7.1500,  -5.408471,    0.060,
         7.2000,  -5.404275,    0.060,
         7.2500,  -5.400139,    0.060,
         7.3000,  -5.395865,    0.060,
         7.3500,  -5.391832,    0.061,
         7.4000,  -5.387672,    0.061,
         7.4500,  -5.383421,    0.062,
         7.5000,  -5.379326,    0.062,
         7.5500,  -5.375194,    0.062,
         7.6000,  -5.370945,    0.062,
         7.6500,  -5.366846,    0.062,
         7.7000,  -5.362523,    0.063,
         7.7500,  -5.358445,    0.063,
         7.8000,  -5.354140,    0.064,
         7.8500,  -5.350046,    0.064,
         7.9000,  -5.345862,    0.064,
         7.9500,  -5.341668,    0.064,
         8.0000,  -5.337668,    0.064,
         8.0500,  -5.333424,    0.065,
         8.1000,  -5.329208,    0.065,
         8.1500,  -5.325140,    0.065,
         8.2000,  -5.320915,    0.066,
         8.2500,  -5.316711,    0.066,
         8.3000,  -5.312649,    0.066,
         8.3500,  -5.308309,    0.066,
         8.4000,  -5.304226,    0.067,
         8.4500,  -5.299919,    0.067,
         8.5000,  -5.295848,    0.068,
         8.5500,  -5.291641,    0.068,
         8.6000,  -5.287552,    0.068,
         8.6500,  -5.283388,    0.068,
         8.7000,  -5.279209,    0.068,
         8.7500,  -5.275063,    0.069,
         8.8000,  -5.270912,    0.069,
         8.8500,  -5.266770,    0.070,
         8.9000,  -5.262540,    0.070,
         8.9500,  -5.258427,    0.070,
         9.0000,  -5.254081,    0.070,
         9.0500,  -5.250032,    0.070,
         9.1000,  -5.245786,    0.071,
         9.1500,  -5.241635,    0.072,
         9.2000,  -5.237419,    0.072,
         9.2500,  -5.233406,    0.072,
         9.3000,  -5.229114,    0.072,
         9.3500,  -5.225075,    0.072,
         9.4000,  -5.220854,    0.073,
         9.4500,  -5.216727,    0.073,
         9.5000,  -5.212570,    0.074,
         9.5500,  -5.208342,    0.074,
         9.6000,  -5.204065,    0.075,
         9.6500,  -5.199924,    0.075,
         9.7000,  -5.195772,    0.075,
         9.7500,  -5.191663,    0.075,
         9.8000,  -5.187456,    0.075,
         9.8500,  -5.183212,    0.076,
         9.9000,  -5.179206,    0.076,
         9.9500,  -5.174963,    0.077,
        10.0000,  -5.170875,    0.077,
        10.0500,  -5.166603,    0.077,
        10.1000,  -5.162551,    0.078,
        10.1500,  -5.158334,    0.078,
        10.2000,  -5.154120,    0.078,
        10.2500,  -5.149925,    0.079,
        10.3000,  -5.145762,    0.079,
        10.3500,  -5.141452,    0.079,
        10.4000,  -5.137416,    0.079,
        10.4500,  -5.133280,    0.080,
        10.5000,  -5.129143,    0.080,
        10.5500,  -5.124925,    0.081,
        10.6000,  -5.120752,    0.081,
        10.6500,  -5.116680,    0.081,
        10.7000,  -5.112585,    0.081,
        10.7500,  -5.108330,    0.082,
        10.8000,  -5.104117,    0.083,
        10.8500,  -5.099763,    0.083,
        10.9000,  -5.095724,    0.083,
        10.9500,  -5.091532,    0.084,
        11.0000,  -5.087471,    0.084,
        11.0500,  -5.083252,    0.085,
        11.1000,  -5.079029,    0.085,
        11.1500,  -5.074858,    0.085,
        11.2000,  -5.070808,    0.085,
        11.2500,  -5.066694,    0.086,
        11.3000,  -5.062497,    0.086,
        11.3500,  -5.058295,    0.087,
        11.4000,  -5.054076,    0.087,
        11.4500,  -5.049779,    0.087,
        11.5000,  -5.045703,    0.088,
        11.5500,  -5.041494,    0.088,
        11.6000,  -5.037397,    0.089,
        11.6500,  -5.033225,    0.089,
        11.7000,  -5.029039,    0.089,
        11.7500,  -5.024930,    0.089,
        11.8000,  -5.020777,    0.090,
        11.8500,  -5.016612,    0.091,
        11.9000,  -5.012489,    0.091,
        11.9500,  -5.008297,    0.091,
        12.0000,  -5.004041,    0.091,
        12.0500,  -4.999849,    0.092,
        12.1000,  -4.995632,    0.092,
        12.1500,  -4.991540,    0.093,
        12.2000,  -4.987386,    0.093,
        12.2500,  -4.983235,    0.093,
        12.3000,  -4.979002,    0.094,
        12.3500,  -4.974825,    0.094,
        12.4000,  -4.970761,    0.095,
        12.4500,  -4.966582,    0.096,
        12.5000,  -4.962466,    0.096,
        12.5500,  -4.958274,    0.096,
        12.6000,  -4.954084,    0.097,
        12.6500,  -4.949816,    0.097,
        12.7000,  -4.945530,    0.098,
        12.7500,  -4.941554,    0.098,
        12.8000,  -4.937333,    0.098,
        12.8500,  -4.933141,    0.099,
        12.9000,  -4.929023,    0.099,
        12.9500,  -4.924890,    0.100,
        13.0000,  -4.920715,    0.100,
        13.0500,  -4.916587,    0.100,
        13.1000,  -4.912352,    0.101,
        13.1500,  -4.908289,    0.101,
        13.2000,  -4.903955,    0.102,
        13.2500,  -4.899807,    0.102,
        13.3000,  -4.895601,    0.102,
        13.3500,  -4.891378,    0.103,
        13.4000,  -4.887391,    0.104,
        13.4500,  -4.883141,    0.104,
        13.5000,  -4.878985,    0.104,
        13.5500,  -4.874885,    0.105,
        13.6000,  -4.870697,    0.105,
        13.6500,  -4.866578,    0.106,
        13.7000,  -4.862378,    0.106,
        13.7500,  -4.858185,    0.107,
        13.8000,  -4.854028,    0.107,
        13.8500,  -4.849803,    0.108,
        13.9000,  -4.845634,    0.108,
        13.9500,  -4.841327,    0.108,
        14.0000,  -4.837305,    0.109,
        14.0500,  -4.833107,    0.110,
        14.1000,  -4.828941,    0.110,
        14.1500,  -4.824800,    0.110,
        14.2000,  -4.820708,    0.111,
        14.2500,  -4.816542,    0.112,
        14.3000,  -4.812348,    0.112,
        14.3500,  -4.808195,    0.112,
        14.4000,  -4.803885,    0.113,
        14.4500,  -4.799696,    0.114,
        14.5000,  -4.795607,    0.114,
        14.5500,  -4.791362,    0.114,
        14.6000,  -4.787278,    0.115,
        14.6500,  -4.783122,    0.116,
        14.7000,  -4.778934,    0.116,
        14.7500,  -4.774759,    0.117,
        14.8000,  -4.770603,    0.117,
        14.8500,  -4.766475,    0.118,
        14.9000,  -4.762318,    0.118,
        14.9500,  -4.758261,    0.119,
        15.0000,  -4.753894,    0.119,
        15.0500,  -4.749692,    0.120,
        15.1000,  -4.745560,    0.120,
        15.1500,  -4.741304,    0.121,
        15.2000,  -4.737291,    0.121,
        15.2500,  -4.733015,    0.122,
        15.3000,  -4.728936,    0.123,
        15.3500,  -4.724713,    0.123,
        15.4000,  -4.720674,    0.123,
        15.4500,  -4.716410,    0.124,
        15.5000,  -4.712297,    0.125,
        15.5500,  -4.708000,    0.125,
        15.6000,  -4.703861,    0.125,
        15.6500,  -4.699695,    0.126,
        15.7000,  -4.695445,    0.126,
        15.7500,  -4.691406,    0.127,
        15.8000,  -4.687171,    0.127,
        15.8500,  -4.683023,    0.128,
        15.9000,  -4.678858,    0.128,
        15.9500,  -4.674712,    0.129,
        16.0000,  -4.670610,    0.129,
        16.0500,  -4.666431,    0.129,
        16.1000,  -4.662335,    0.130,
        16.1500,  -4.657983,    0.131,
        16.2000,  -4.653835,    0.131,
        16.2500,  -4.649607,    0.131,
        16.3000,  -4.645481,    0.132,
        16.3500,  -4.641313,    0.133,
        16.4000,  -4.637191,    0.133,
        16.4500,  -4.632895,    0.133,
        16.5000,  -4.628996,    0.134,
        16.5500,  -4.624736,    0.135,
        16.6000,  -4.620470,    0.135,
        16.6500,  -4.616521,    0.136,
        16.7000,  -4.612147,    0.136,
        16.7500,  -4.607803,    0.137,
        16.8000,  -4.603877,    0.137,
        16.8500,  -4.599596,    0.138,
        16.9000,  -4.595366,    0.138,
        16.9500,  -4.591328,    0.138,
        17.0000,  -4.587127,    0.139,
        17.0500,  -4.583086,    0.140,
        17.1000,  -4.578908,    0.140,
        17.1500,  -4.574659,    0.140,
        17.2000,  -4.570709,    0.141,
        17.2500,  -4.566382,    0.142,
        17.3000,  -4.562080,    0.142,
        17.3500,  -4.557932,    0.142,
        17.4000,  -4.553768,    0.143,
        17.4500,  -4.549691,    0.144,
        17.5000,  -4.545426,    0.144,
        17.5500,  -4.541248,    0.144,
        17.6000,  -4.537302,    0.145,
        17.6500,  -4.532958,    0.146,
        17.7000,  -4.528783,    0.146,
        17.7500,  -4.524763,    0.146,
        17.8000,  -4.520594,    0.147,
        17.8500,  -4.516172,    0.148,
        17.9000,  -4.512139,    0.148,
        17.9500,  -4.507913,    0.148,
        18.0000,  -4.503805,    0.149,
        18.0500,  -4.499607,    0.150,
        18.1000,  -4.495480,    0.150,
        18.1500,  -4.491356,    0.151,
        18.2000,  -4.487089,    0.151,
        18.2500,  -4.483035,    0.152,
        18.3000,  -4.478903,    0.152,
        18.3500,  -4.474609,    0.153,
        18.4000,  -4.470591,    0.153,
        18.4500,  -4.466287,    0.154,
        18.5000,  -4.462110,    0.154,
        18.5500,  -4.457941,    0.154,
        18.6000,  -4.453792,    0.155,
        18.6500,  -4.449541,    0.156,
        18.7000,  -4.445458,    0.157,
        18.7500,  -4.441348,    0.157,
        18.8000,  -4.437144,    0.157,
        18.8500,  -4.433067,    0.158,
        18.9000,  -4.428869,    0.158,
        18.9500,  -4.424754,    0.159,
        19.0000,  -4.420306,    0.159,
        19.0500,  -4.416289,    0.160,
        19.1000,  -4.411919,    0.160,
        19.1500,  -4.408005,    0.160,
        19.2000,  -4.403782,    0.160,
        19.2500,  -4.399562,    0.161,
        19.3000,  -4.395509,    0.161,
        19.3500,  -4.391286,    0.161,
        19.4000,  -4.387178,    0.161,
        19.4500,  -4.382992,    0.162,
