time,Force,Displacement
         0.0000,  -5.999860,    0.040,
         0.0500,  -5.999357,    0.040,
         0.1000,  -5.996568,    0.040,
         0.1500,  -5.992678,    0.041,
         0.2000,  -5.988504,    0.041,
         0.2500,  -5.984325,    0.041,
         0.3000,  -5.980307,    0.041,
         0.3500,  -5.976039,    0.041,
         0.4000,  -5.971841,    0.041,
         0.4500,  -5.967634,    0.042,
         0.5000,  -5.963547,    0.042,
         0.5500,  -5.959279,    0.042,
         0.6000,  -5.955158,    0.043,
         0.6500,  -5.950957,    0.043,
         0.7000,  -5.946803,    0.043,
         0.7500,  -5.942683,    0.043,
         0.8000,  -5.938458,    0.043,
         0.8500,  -5.934196,    0.044,
         0.9000,  -5.929938,    0.044,
         0.9500,  -5.925784,    0.044,
         1.0000,  -5.921663,    0.045,
         1.0500,  -5.917526,    0.045,
         1.1000,  -5.913239,    0.045,
         1.1500,  -5.909060,    0.045,
         1.2000,  -5.904922,    0.045,
         1.2500,  -5.900741,    0.046,
         1.3000,  -5.896664,    0.046,
         1.3500,  -5.892436,    0.046,
         1.4000,  -5.888219,    0.047,
         1.4500,  -5.884111,    0.047,
         1.5000,  -5.879928,    0.047,
         1.5500,  -5.875713,    0.047,
         1.6000,  -5.871486,    0.047,
         1.6500,  -5.867332,    0.048,
         1.7000,  -5.863005,    0.048,
         1.7500,  -5.859027,    0.048,
         1.8000,  -5.854822,    0.049,
         1.8500,  -5.850572,    0.049,
         1.9000,  -5.846368,    0.049,
         1.9500,  -5.842261,    0.049,
         2.0000,  -5.838114,    0.049,
         2.0500,  -5.834038,    0.050,
         2.1000,  -5.829774,    0.050,
         2.1500,  -5.825671,    0.050,
         2.2000,  -5.821556,    0.051,
         2.2500,  -5.817301,    0.051,
         2.3000,  -5.813008,    0.051,
         2.3500,  -5.808832,    0.051,
         2.4000,  -5.804632,    0.051,
         2.4500,  -5.800505,    0.051,
         2.5000,  -5.796351,    0.052,
         2.5500,  -5.792165,    0.052,
         2.6000,  -5.788025,    0.052,
         2.6500,  -5.783890,    0.053,
         2.7000,  -5.779760,    0.053,
         2.7500,  -5.775549,    0.053,
         2.8000,  -5.771337,    0.054,
         2.8500,  -5.767199,    0.054,
         2.9000,  -5.763098,    0.054,
         2.9500,  -5.758967,    0.054,
         3.0000,  -5.754585,    0.055,
         3.0500,  -5.750389,    0.055,
         3.1000,  -5.746260,    0.055,
         3.1500,  -5.742063,    0.056,
         3.2000,  -5.737931,    0.056,
         3.2500,  -5.733749,    0.056,
         3.3000,  -5.729578,    0.056,
         3.3500,  -5.725480,    0.056,
         3.4000,  -5.721309,    0.056,
         3.4500,  -5.717118,    0.057,
         3.5000,  -5.712983,    0.057,
         3.5500,  -5.708937,    0.058,
         3.6000,  -5.704577,    0.058,
         3.6500,  -5.700447,    0.058,
         3.7000,  -5.696203,    0.058,
         3.7500,  -5.692014,    0.058,
         3.8000,  -5.687857,    0.059,
         3.8500,  -5.683649,    0.059,
         3.9000,  -5.679483,    0.060,
         3.9500,  -5.675439,    0.060,
         4.0000,  -5.671249,    0.060,
         4.0500,  -5.667091,    0.060,
         4.1000,  -5.662827,    0.060,
         4.1500,  -5.658707,    0.060,
         4.2000,  -5.654686,    0.061,
         4.2500,  -5.650396,    0.061,
         4.3000,  -5.646294,    0.061,
         4.3500,  -5.642123,    0.062,
         4.4000,  -5.637830,    0.062,
         4.4500,  -5.633689,    0.062,
