Time,Displacement,Force
         0.0000,  -5.999813,    0.043,
         0.0500,  -5.999373,    0.043,
         0.1000,  -5.996495,    0.043,
         0.1500,  -5.992618,    0.043,
         0.2000,  -5.988502,    0.044,
         0.2500,  -5.984316,    0.044,
         0.3000,  -5.980188,    0.044,
         0.3500,  -5.976000,    0.045,
         0.4000,  -5.971840,    0.045,
         0.4500,  -5.967609,    0.045,
         0.5000,  -5.963464,    0.045,
         0.5500,  -5.959305,    0.045,
         0.6000,  -5.955129,    0.046,
         0.6500,  -5.950936,    0.046,
         0.7000,  -5.946802,    0.046,
         0.7500,  -5.942616,    0.047,
         0.8000,  -5.938441,    0.047,
         0.8500,  -5.934097,    0.047,
         0.9000,  -5.929920,    0.047,
         0.9500,  -5.925757,    0.047,
         1.0000,  -5.921577,    0.047,
         1.0500,  -5.917417,    0.048,
         1.1000,  -5.913237,    0.048,
         1.1500,  -5.909082,    0.048,
         1.2000,  -5.904879,    0.048,
         1.2500,  -5.900726,    0.049,
         1.3000,  -5.896568,    0.049,
         1.3500,  -5.892419,    0.049,
         1.4000,  -5.888263,    0.049,
         1.4500,  -5.884076,    0.049,
         1.5000,  -5.879937,    0.049,
         1.5500,  -5.875664,    0.049,
         1.6000,  -5.871415,    0.050,
         1.6500,  -5.867235,    0.050,
         1.7000,  -5.863082,    0.051,
         1.7500,  -5.858923,    0.051,
         1.8000,  -5.854755,    0.051,
         1.8500,  -5.850585,    0.051,
         1.9000,  -5.846459,    0.051,
         1.9500,  -5.842258,    0.051,
         2.0000,  -5.838081,    0.052,
         2.0500,  -5.833991,    0.052,
         2.1000,  -5.829795,    0.052,
         2.1500,  -5.825643,    0.052,
         2.2000,  -5.821466,    0.053,
         2.2500,  -5.817296,    0.053,
         2.3000,  -5.812991,    0.054,
         2.3500,  -5.808803,    0.054,
         2.4000,  -5.804635,    0.054,
         2.4500,  -5.800461,    0.054,
         2.5000,  -5.796332,    0.054,
         2.5500,  -5.792133,    0.055,
         2.6000,  -5.787994,    0.055,
         2.6500,  -5.783839,    0.055,
         2.7000,  -5.779680,    0.056,
         2.7500,  -5.775530,    0.056,
         2.8000,  -5.771330,    0.056,
         2.8500,  -5.767211,    0.056,
         2.9000,  -5.763075,    0.056,
         2.9500,  -5.758902,    0.056,
         3.0000,  -5.754598,    0.057,
         3.0500,  -5.750354,    0.057,
         3.1000,  -5.746239,    0.058,
         3.1500,  -5.742043,    0.058,
         3.2000,  -5.737914,    0.058,
         3.2500,  -5.733780,    0.058,
         3.3000,  -5.729601,    0.058,
         3.3500,  -5.725424,    0.058,
         3.4000,  -5.721258,    0.059,
         3.4500,  -5.717121,    0.059,
         3.5000,  -5.712942,    0.060,
         3.5500,  -5.708809,    0.060,
         3.6000,  -5.704643,    0.060,
         3.6500,  -5.700458,    0.060,
         3.7000,  -5.696225,    0.060,
         3.7500,  -5.691958,    0.060,
         3.8000,  -5.687809,    0.060,
         3.8500,  -5.683659,    0.061,
         3.9000,  -5.679529,    0.061,
         3.9500,  -5.675347,    0.062,
         4.0000,  -5.671185,    0.062,
         4.0500,  -5.667040,    0.062,
         4.1000,  -5.662896,    0.062,
         4.1500,  -5.658718,    0.062,
         4.2000,  -5.654537,    0.062,
         4.2500,  -5.650435,    0.063,
         4.3000,  -5.646256,    0.063,
         4.3500,  -5.642052,    0.063,
         4.4000,  -5.637781,    0.063,
         4.4500,  -5.633587,    0.064,
         4.5000,  -5.629432,    0.064,
         4.5500,  -5.625297,    0.064,
         4.6000,  -5.621108,    0.064,
         4.6500,  -5.617000,    0.065,
         4.7000,  -5.612799,    0.066,
         4.7500,  -5.608669,    0.066,
         4.8000,  -5.604504,    0.066,
         4.8500,  -5.600341,    0.066,
         4.9000,  -5.596200,    0.066,
         4.9500,  -5.592031,    0.067,
         5.0000,  -5.587853,    0.066,
         5.0500,  -5.583656,    0.067,
         5.1000,  -5.579379,    0.068,
         5.1500,  -5.575234,    0.068,
         5.2000,  -5.571042,    0.068,
         5.2500,  -5.566890,    0.068,
         5.3000,  -5.562746,    0.069,
         5.3500,  -5.558565,    0.069,
         5.4000,  -5.554453,    0.069,
         5.4500,  -5.550277,    0.070,
         5.5000,  -5.546126,    0.070,
         5.5500,  -5.541982,    0.070,
         5.6000,  -5.537814,    0.070,
         5.6500,  -5.533646,    0.070,
         5.7000,  -5.529492,    0.071,
         5.7500,  -5.525210,    0.071,
         5.8000,  -5.521012,    0.071,
         5.8500,  -5.516859,    0.072,
         5.9000,  -5.512683,    0.072,
         5.9500,  -5.508524,    0.072,
         6.0000,  -5.504360,    0.072,
         6.0500,  -5.500240,    0.072,
         6.1000,  -5.496043,    0.073,
         6.1500,  -5.491900,    0.073,
         6.2000,  -5.487723,    0.074,
         6.2500,  -5.483597,    0.074,
         6.3000,  -5.479425,    0.074,
         6.3500,  -5.475255,    0.075,
         6.4000,  -5.470963,    0.075,
         6.4500,  -5.466795,    0.075,
         6.5000,  -5.462635,    0.075,
         6.5500,  -5.458457,    0.075,
         6.6000,  -5.454319,    0.076,
         6.6500,  -5.450147,    0.076,
         6.7000,  -5.445981,    0.077,
         6.7500,  -5.441853,    0.077,
         6.8000,  -5.437662,    0.077,
         6.8500,  -5.433525,    0.078,
         6.9000,  -5.429359,    0.077,
         6.9500,  -5.425257,    0.078,
         7.0000,  -5.421029,    0.079,
         7.0500,  -5.416783,    0.079,
         7.1000,  -5.412520,    0.079,
         7.1500,  -5.408403,    0.079,
         7.2000,  -5.404263,    0.080,
         7.2500,  -5.400097,    0.080,
         7.3000,  -5.395946,    0.081,
         7.3500,  -5.391756,    0.081,
         7.4000,  -5.387625,    0.081,
         7.4500,  -5.383467,    0.081,
         7.5000,  -5.379274,    0.082,
         7.5500,  -5.375163,    0.082,
         7.6000,  -5.370984,    0.083,
         7.6500,  -5.366837,    0.083,
         7.7000,  -5.362532,    0.083,
         7.7500,  -5.358351,    0.083,
         7.8000,  -5.354164,    0.083,
         7.8500,  -5.350037,    0.084,
         7.9000,  -5.345868,    0.084,
         7.9500,  -5.341718,    0.085,
         8.0000,  -5.337587,    0.085,
         8.0500,  -5.333411,    0.085,
         8.1000,  -5.329240,    0.085,
         8.1500,  -5.325090,    0.086,
         8.2000,  -5.320941,    0.085,
         8.2500,  -5.316794,    0.086,
         8.3000,  -5.312584,    0.087,
         8.3500,  -5.308360,    0.087,
         8.4000,  -5.304096,    0.087,
         8.4500,  -5.299989,    0.087,
         8.5000,  -5.295813,    0.087,
         8.5500,  -5.291637,    0.088,
         8.6000,  -5.287563,    0.089,
         8.6500,  -5.283316,    0.089,
         8.7000,  -5.279225,    0.089,
         8.7500,  -5.275068,    0.089,
         8.8000,  -5.270910,    0.089,
         8.8500,  -5.266761,    0.090,
         8.9000,  -5.262573,    0.091,
         8.9500,  -5.258317,    0.091,
         9.0000,  -5.254095,    0.091,
         9.0500,  -5.249952,    0.092,
         9.1000,  -5.245791,    0.092,
         9.1500,  -5.241596,    0.093,
         9.2000,  -5.237510,    0.093,
         9.2500,  -5.233304,    0.093,
         9.3000,  -5.229134,    0.094,
         9.3500,  -5.225009,    0.094,
         9.4000,  -5.220863,    0.094,
         9.4500,  -5.216704,    0.095,
         9.5000,  -5.212548,    0.095,
         9.5500,  -5.208357,    0.096,
         9.6000,  -5.204078,    0.096,
         9.6500,  -5.199893,    0.096,
         9.7000,  -5.195744,    0.096,
         9.7500,  -5.191566,    0.097,
         9.8000,  -5.187456,    0.097,
         9.8500,  -5.183323,    0.098,
         9.9000,  -5.179092,    0.098,
         9.9500,  -5.174987,    0.098,
        10.0000,  -5.170843,    0.099,
        10.0500,  -5.166641,    0.099,
        10.1000,  -5.162503,    0.100,
        10.1500,  -5.158373,    0.100,
        10.2000,  -5.154092,    0.100,
        10.2500,  -5.149832,    0.101,
        10.3000,  -5.145707,    0.101,
        10.3500,  -5.141570,    0.102,
        10.4000,  -5.137393,    0.102,
        10.4500,  -5.133251,    0.102,
        10.5000,  -5.129109,    0.103,
        10.5500,  -5.124952,    0.103,
        10.6000,  -5.120786,    0.104,
        10.6500,  -5.116684,    0.104,
        10.7000,  -5.112484,    0.104,
        10.7500,  -5.108337,    0.105,
        10.8000,  -5.104113,    0.106,
        10.8500,  -5.099843,    0.106,
        10.9000,  -5.095687,    0.106,
        10.9500,  -5.091570,    0.106,
        11.0000,  -5.087396,    0.107,
        11.0500,  -5.083210,    0.107,
        11.1000,  -5.079078,    0.108,
        11.1500,  -5.074932,    0.108,
        11.2000,  -5.070781,    0.109,
        11.2500,  -5.066602,    0.109,
        11.3000,  -5.062499,    0.109,
        11.3500,  -5.058326,    0.110,
        11.4000,  -5.054105,    0.110,
        11.4500,  -5.049830,    0.110,
        11.5000,  -5.045672,    0.111,
        11.5500,  -5.041505,    0.112,
        11.6000,  -5.037365,    0.112,
        11.6500,  -5.033208,    0.112,
        11.7000,  -5.029070,    0.113,
        11.7500,  -5.024909,    0.113,
        11.8000,  -5.020764,    0.114,
