time,Force,Displacement
         0.0000,  -5.999844,    0.045,
         0.0500,  -5.999717,    0.045,
         0.1000,  -5.996795,    0.046,
         0.1500,  -5.992624,    0.047,
         0.2000,  -5.988540,    0.047,
         0.2500,  -5.984374,    0.048,
         0.3000,  -5.980174,    0.049,
         0.3500,  -5.976009,    0.049,
         0.4000,  -5.971853,    0.051,
         0.4500,  -5.967632,    0.051,
         0.5000,  -5.963452,    0.052,
         0.5500,  -5.959314,    0.054,
         0.6000,  -5.955114,    0.054,
         0.6500,  -5.950975,    0.055,
         0.7000,  -5.946794,    0.056,
         0.7500,  -5.942616,    0.056,
         0.8000,  -5.938444,    0.057,
         0.8500,  -5.934121,    0.058,
         0.9000,  -5.929932,    0.058,
         0.9500,  -5.925773,    0.059,
         1.0000,  -5.921591,    0.060,
         1.0500,  -5.917408,    0.060,
         1.1000,  -5.913256,    0.061,
         1.1500,  -5.909095,    0.062,
         1.2000,  -5.904916,    0.062,
         1.2500,  -5.900736,    0.063,
         1.3000,  -5.896646,    0.064,
         1.3500,  -5.892423,    0.064,
         1.4000,  -5.888245,    0.066,
         1.4500,  -5.884092,    0.066,
         1.5000,  -5.879932,    0.067,
         1.5500,  -5.875694,    0.068,
         1.6000,  -5.871444,    0.068,
         1.6500,  -5.867267,    0.069,
         1.7000,  -5.863084,    0.069,
         1.7500,  -5.858930,    0.070,
         1.8000,  -5.854762,    0.070,
         1.8500,  -5.850618,    0.071,
         1.9000,  -5.846422,    0.072,
         1.9500,  -5.842289,    0.073,
         2.0000,  -5.838110,    0.073,
         2.0500,  -5.833963,    0.074,
         2.1000,  -5.829775,    0.075,
         2.1500,  -5.825597,    0.076,
         2.2000,  -5.821492,    0.076,
         2.2500,  -5.817281,    0.077,
         2.3000,  -5.812979,    0.078,
         2.3500,  -5.808814,    0.079,
         2.4000,  -5.804600,    0.079,
         2.4500,  -5.800510,    0.080,
         2.5000,  -5.796344,    0.081,
         2.5500,  -5.792170,    0.081,
         2.6000,  -5.788011,    0.082,
         2.6500,  -5.783846,    0.083,
         2.7000,  -5.779683,    0.083,
         2.7500,  -5.775540,    0.084,
         2.8000,  -5.771384,    0.085,
         2.8500,  -5.767198,    0.085,
         2.9000,  -5.763058,    0.086,
         2.9500,  -5.758913,    0.087,
         3.0000,  -5.754605,    0.087,
         3.0500,  -5.750385,    0.089,
         3.1000,  -5.746241,    0.089,
         3.1500,  -5.742085,    0.090,
         3.2000,  -5.737947,    0.091,
         3.2500,  -5.733741,    0.091,
         3.3000,  -5.729608,    0.092,
         3.3500,  -5.725434,    0.093,
         3.4000,  -5.721311,    0.093,
         3.4500,  -5.717101,    0.094,
         3.5000,  -5.712968,    0.095,
         3.5500,  -5.708806,    0.096,
         3.6000,  -5.704661,    0.096,
         3.6500,  -5.700506,    0.097,
         3.7000,  -5.696219,    0.098,
         3.7500,  -5.691994,    0.099,
         3.8000,  -5.687834,    0.100,
         3.8500,  -5.683666,    0.100,
         3.9000,  -5.679551,    0.101,
         3.9500,  -5.675338,    0.102,
         4.0000,  -5.671211,    0.103,
         4.0500,  -5.667070,    0.104,
         4.1000,  -5.662884,    0.104,
         4.1500,  -5.658720,    0.105,
         4.2000,  -5.654581,    0.106,
         4.2500,  -5.650417,    0.106,
         4.3000,  -5.646284,    0.107,
         4.3500,  -5.642081,    0.108,
         4.4000,  -5.637803,    0.108,
         4.4500,  -5.633609,    0.109,
         4.5000,  -5.629418,    0.110,
         4.5500,  -5.625296,    0.111,
         4.6000,  -5.621170,    0.112,
         4.6500,  -5.616964,    0.112,
         4.7000,  -5.612791,    0.114,
         4.7500,  -5.608676,    0.114,
         4.8000,  -5.604544,    0.115,
         4.8500,  -5.600365,    0.116,
         4.9000,  -5.596200,    0.117,
         4.9500,  -5.592079,    0.117,
         5.0000,  -5.587905,    0.118,
         5.0500,  -5.583630,    0.119,
         5.1000,  -5.579381,    0.120,
         5.1500,  -5.575206,    0.121,
         5.2000,  -5.571032,    0.122,
         5.2500,  -5.566918,    0.123,
         5.3000,  -5.562756,    0.123,
         5.3500,  -5.558595,    0.125,
         5.4000,  -5.554472,    0.125,
         5.4500,  -5.550303,    0.126,
         5.5000,  -5.546118,    0.127,
         5.5500,  -5.542013,    0.127,
         5.6000,  -5.537811,    0.129,
         5.6500,  -5.533676,    0.129,
         5.7000,  -5.529457,    0.130,
         5.7500,  -5.525194,    0.131,
         5.8000,  -5.520989,    0.132,
         5.8500,  -5.516854,    0.133,
         5.9000,  -5.512685,    0.133,
