time,Force,Displacement
         0.0000,  -6.000093,    0.033,
         0.0500,  -5.999341,    0.033,
         0.1000,  -5.996087,    0.033,
         0.1500,  -5.992038,    0.033,
         0.2000,  -5.987907,    0.034,
         0.2500,  -5.983728,    0.034,
         0.3000,  -5.979600,    0.035,
         0.3500,  -5.975336,    0.035,
         0.4000,  -5.971218,    0.035,
         0.4500,  -5.967038,    0.035,
         0.5000,  -5.962870,    0.035,
         0.5500,  -5.958711,    0.036,
         0.6000,  -5.954518,    0.036,
         0.6500,  -5.950393,    0.037,
         0.7000,  -5.946176,    0.037,
         0.7500,  -5.941939,    0.037,
         0.8000,  -5.937852,    0.037,
         0.8500,  -5.933536,    0.037,
         0.9000,  -5.929322,    0.037,
         0.9500,  -5.925222,    0.038,
         1.0000,  -5.920957,    0.038,
         1.0500,  -5.916823,    0.038,
         1.1000,  -5.912717,    0.039,
         1.1500,  -5.908495,    0.039,
         1.2000,  -5.904296,    0.039,
         1.2500,  -5.900177,    0.039,
         1.3000,  -5.896046,    0.040,
         1.3500,  -5.891917,    0.040,
         1.4000,  -5.887687,    0.040,
         1.4500,  -5.883453,    0.040,
         1.5000,  -5.879329,    0.041,
         1.5500,  -5.875071,    0.041,
         1.6000,  -5.870947,    0.041,
         1.6500,  -5.866697,    0.041,
         1.7000,  -5.862447,    0.042,
         1.7500,  -5.858291,    0.042,
         1.8000,  -5.854254,    0.043,
         1.8500,  -5.850069,    0.043,
         1.9000,  -5.845904,    0.043,
         1.9500,  -5.841699,    0.043,
         2.0000,  -5.837552,    0.044,
         2.0500,  -5.833410,    0.044,
         2.1000,  -5.829249,    0.044,
         2.1500,  -5.825060,    0.045,
         2.2000,  -5.820915,    0.045,
         2.2500,  -5.816697,    0.045,
         2.3000,  -5.812459,    0.045,
         2.3500,  -5.808219,    0.046,
         2.4000,  -5.804105,    0.046,
         2.4500,  -5.799933,    0.046,
         2.5000,  -5.795765,    0.047,
         2.5500,  -5.791645,    0.047,
         2.6000,  -5.787463,    0.047,
         2.6500,  -5.783284,    0.047,
         2.7000,  -5.779154,    0.048,
