Time,Displacement,Force
         0.0000,  -6.000143,    0.035,
         0.0500,  -5.999307,    0.035,
         0.1000,  -5.996208,    0.035,
         0.1500,  -5.992318,    0.036,
         0.2000,  -5.988127,    0.037,
         0.2500,  -5.983906,    0.037,
         0.3000,  -5.979742,    0.037,
         0.3500,  -5.975640,    0.037,
         0.4000,  -5.971403,    0.038,
         0.4500,  -5.967203,    0.038,
         0.5000,  -5.963047,    0.039,
         0.5500,  -5.958959,    0.039,
         0.6000,  -5.954867,    0.039,
         0.6500,  -5.950531,    0.039,
         0.7000,  -5.946420,    0.039,
         0.7500,  -5.942236,    0.040,
         0.8000,  -5.938077,    0.040,
         0.8500,  -5.933722,    0.041,
         0.9000,  -5.929523,    0.041,
         0.9500,  -5.925342,    0.041,
         1.0000,  -5.921147,    0.041,
         1.0500,  -5.917142,    0.042,
         1.1000,  -5.912835,    0.042,
         1.1500,  -5.908709,    0.043,
         1.2000,  -5.904551,    0.043,
         1.2500,  -5.900470,    0.043,
         1.3000,  -5.896231,    0.043,
         1.3500,  -5.892051,    0.044,
         1.4000,  -5.887868,    0.045,
         1.4500,  -5.883784,    0.045,
         1.5000,  -5.879539,    0.045,
         1.5500,  -5.875236,    0.046,
         1.6000,  -5.871037,    0.046,
         1.6500,  -5.866890,    0.046,
         1.7000,  -5.862804,    0.047,
         1.7500,  -5.858533,    0.047,
         1.8000,  -5.854469,    0.047,
         1.8500,  -5.850236,    0.048,
         1.9000,  -5.846070,    0.048,
         1.9500,  -5.842005,    0.049,
         2.0000,  -5.837788,    0.049,
         2.0500,  -5.833607,    0.049,
         2.1000,  -5.829383,    0.049,
         2.1500,  -5.825336,    0.049,
         2.2000,  -5.821177,    0.049,
         2.2500,  -5.816920,    0.050,
         2.3000,  -5.812620,    0.050,
         2.3500,  -5.808449,    0.050,
         2.4000,  -5.804352,    0.051,
         2.4500,  -5.800123,    0.051,
         2.5000,  -5.795940,    0.051,
         2.5500,  -5.791753,    0.052,
         2.6000,  -5.787692,    0.052,
         2.6500,  -5.783503,    0.053,
         2.7000,  -5.779391,    0.053,
         2.7500,  -5.775252,    0.054,
         2.8000,  -5.770945,    0.054,
         2.8500,  -5.766939,    0.054,
         2.9000,  -5.762772,    0.054,
         2.9500,  -5.758458,    0.055,
         3.0000,  -5.754229,    0.055,
         3.0500,  -5.750150,    0.056,
         3.1000,  -5.745805,    0.056,
         3.1500,  -5.741788,    0.056,
         3.2000,  -5.737581,    0.056,
         3.2500,  -5.733426,    0.057,
         3.3000,  -5.729269,    0.057,
         3.3500,  -5.725117,    0.058,
         3.4000,  -5.721026,    0.058,
         3.4500,  -5.716771,    0.058,
         3.5000,  -5.712611,    0.059,
         3.5500,  -5.708466,    0.059,
         3.6000,  -5.704352,    0.060,
         3.6500,  -5.700185,    0.060,
         3.7000,  -5.695852,    0.060,
         3.7500,  -5.691611,    0.060,
         3.8000,  -5.687479,    0.060,
         3.8500,  -5.683297,    0.061,
         3.9000,  -5.679238,    0.061,
         3.9500,  -5.675122,    0.062,
         4.0000,  -5.670899,    0.062,
         4.0500,  -5.666764,    0.062,
         4.1000,  -5.662426,    0.063,
         4.1500,  -5.658409,    0.063,
         4.2000,  -5.654291,    0.064,
         4.2500,  -5.650140,    0.064,
         4.3000,  -5.645953,    0.064,
         4.3500,  -5.641794,    0.065,
         4.4000,  -5.637494,    0.065,
         4.4500,  -5.633226,    0.065,
         4.5000,  -5.629119,    0.066,
         4.5500,  -5.625006,    0.066,
         4.6000,  -5.620854,    0.066,
         4.6500,  -5.616685,    0.066,
         4.7000,  -5.612474,    0.067,
         4.7500,  -5.608419,    0.068,
         4.8000,  -5.604154,    0.068,
         4.8500,  -5.599981,    0.068,
         4.9000,  -5.595920,    0.068,
         4.9500,  -5.591733,    0.069,
         5.0000,  -5.587577,    0.069,
         5.0500,  -5.583299,    0.070,
         5.1000,  -5.579052,    0.070,
         5.1500,  -5.574939,    0.070,
         5.2000,  -5.570658,    0.071,
         5.2500,  -5.566688,    0.072,
         5.3000,  -5.562314,    0.072,
         5.3500,  -5.558349,    0.072,
         5.4000,  -5.554171,    0.073,
         5.4500,  -5.549917,    0.073,
         5.5000,  -5.545884,    0.074,
         5.5500,  -5.541721,    0.075,
         5.6000,  -5.537449,    0.075,
         5.6500,  -5.533460,    0.075,
         5.7000,  -5.529106,    0.075,
         5.7500,  -5.524811,    0.076,
         5.8000,  -5.520720,    0.076,
         5.8500,  -5.516549,    0.077,
         5.9000,  -5.512317,    0.077,
         5.9500,  -5.508226,    0.077,
         6.0000,  -5.504111,    0.077,
         6.0500,  -5.499933,    0.078,
         6.1000,  -5.495771,    0.079,
         6.1500,  -5.491580,    0.079,
         6.2000,  -5.487530,    0.079,
         6.2500,  -5.483322,    0.079,
         6.3000,  -5.479077,    0.080,
         6.3500,  -5.474995,    0.081,
         6.4000,  -5.470634,    0.081,
         6.4500,  -5.466446,    0.081,
         6.5000,  -5.462456,    0.082,
         6.5500,  -5.458152,    0.082,
         6.6000,  -5.453994,    0.083,
         6.6500,  -5.449933,    0.083,
         6.7000,  -5.445752,    0.084,
         6.7500,  -5.441510,    0.084,
         6.8000,  -5.437356,    0.085,
         6.8500,  -5.433235,    0.085,
         6.9000,  -5.429184,    0.085,
         6.9500,  -5.424903,    0.086,
         7.0000,  -5.420754,    0.086,
         7.0500,  -5.416510,    0.087,
         7.1000,  -5.412130,    0.087,
         7.1500,  -5.408183,    0.087,
         7.2000,  -5.403961,    0.087,
