Time,Displacement,Force
         0.0000,  -6.000098,    0.035,
         0.0500,  -5.999387,    0.035,
         0.1000,  -5.996119,    0.035,
         0.1500,  -5.991986,    0.035,
         0.2000,  -5.987901,    0.035,
         0.2500,  -5.983755,    0.035,
         0.3000,  -5.979618,    0.035,
         0.3500,  -5.975342,    0.035,
         0.4000,  -5.971208,    0.036,
         0.4500,  -5.966961,    0.036,
         0.5000,  -5.962984,    0.036,
         0.5500,  -5.958652,    0.036,
         0.6000,  -5.954575,    0.037,
         0.6500,  -5.950356,    0.037,
         0.7000,  -5.946142,    0.037,
         0.7500,  -5.942002,    0.037,
         0.8000,  -5.937832,    0.037,
         0.8500,  -5.933607,    0.037,
         0.9000,  -5.929337,    0.037,
         0.9500,  -5.925142,    0.037,
         1.0000,  -5.920939,    0.037,
         1.0500,  -5.916890,    0.038,
         1.1000,  -5.912653,    0.038,
         1.1500,  -5.908595,    0.038,
         1.2000,  -5.904313,    0.038,
         1.2500,  -5.900175,    0.038,
         1.3000,  -5.896003,    0.039,
         1.3500,  -5.891819,    0.039,
         1.4000,  -5.887803,    0.039,
         1.4500,  -5.883531,    0.039,
         1.5000,  -5.879357,    0.039,
         1.5500,  -5.875002,    0.039,
         1.6000,  -5.870885,    0.039,
         1.6500,  -5.866707,    0.039,
         1.7000,  -5.862587,    0.039,
         1.7500,  -5.858326,    0.040,
         1.8000,  -5.854157,    0.040,
         1.8500,  -5.850123,    0.040,
         1.9000,  -5.845887,    0.040,
         1.9500,  -5.841736,    0.040,
         2.0000,  -5.837502,    0.041,
         2.0500,  -5.833495,    0.041,
         2.1000,  -5.829172,    0.041,
         2.1500,  -5.825045,    0.041,
         2.2000,  -5.821012,    0.041,
         2.2500,  -5.816705,    0.041,
         2.3000,  -5.812391,    0.041,
         2.3500,  -5.808304,    0.041,
         2.4000,  -5.804140,    0.041,
         2.4500,  -5.799917,    0.042,
         2.5000,  -5.795780,    0.042,
         2.5500,  -5.791596,    0.042,
         2.6000,  -5.787549,    0.042,
         2.6500,  -5.783227,    0.043,
         2.7000,  -5.779115,    0.043,
         2.7500,  -5.775023,    0.043,
         2.8000,  -5.770836,    0.043,
         2.8500,  -5.766689,    0.043,
         2.9000,  -5.762506,    0.043,
         2.9500,  -5.758324,    0.044,
         3.0000,  -5.753937,    0.044,
         3.0500,  -5.749883,    0.044,
         3.1000,  -5.745670,    0.044,
         3.1500,  -5.741516,    0.045,
         3.2000,  -5.737427,    0.045,
         3.2500,  -5.733290,    0.045,
         3.3000,  -5.729105,    0.045,
         3.3500,  -5.724894,    0.045,
         3.4000,  -5.720798,    0.045,
         3.4500,  -5.716577,    0.045,
         3.5000,  -5.712464,    0.045,
         3.5500,  -5.708241,    0.046,
         3.6000,  -5.704162,    0.045,
         3.6500,  -5.700048,    0.046,
         3.7000,  -5.695626,    0.046,
         3.7500,  -5.691509,    0.046,
         3.8000,  -5.687345,    0.047,
         3.8500,  -5.683080,    0.047,
         3.9000,  -5.678968,    0.047,
         3.9500,  -5.674832,    0.047,
         4.0000,  -5.670723,    0.047,
         4.0500,  -5.666516,    0.047,
         4.1000,  -5.662345,    0.047,
         4.1500,  -5.658227,    0.047,
         4.2000,  -5.654030,    0.048,
         4.2500,  -5.649996,    0.048,
         4.3000,  -5.645655,    0.048,
         4.3500,  -5.641508,    0.048,
         4.4000,  -5.637295,    0.049,
         4.4500,  -5.633075,    0.049,
         4.5000,  -5.628984,    0.049,
         4.5500,  -5.624739,    0.049,
         4.6000,  -5.620579,    0.049,
         4.6500,  -5.616517,    0.049,
         4.7000,  -5.612193,    0.049,
         4.7500,  -5.608211,    0.049,
         4.8000,  -5.604036,    0.049,
         4.8500,  -5.599830,    0.050,
         4.9000,  -5.595669,    0.050,
