time,Force,Displacement
         0.0000,  -5.999815,    0.044,
         0.0500,  -5.999271,    0.044,
         0.1000,  -5.996212,    0.045,
         0.1500,  -5.992210,    0.044,
         0.2000,  -5.988090,    0.045,
         0.2500,  -5.983915,    0.045,
         0.3000,  -5.979749,    0.045,
         0.3500,  -5.975568,    0.045,
         0.4000,  -5.971400,    0.045,
         0.4500,  -5.967219,    0.045,
         0.5000,  -5.963051,    0.045,
         0.5500,  -5.958879,    0.045,
         0.6000,  -5.954714,    0.045,
         0.6500,  -5.950549,    0.045,
         0.7000,  -5.946364,    0.046,
         0.7500,  -5.942202,    0.046,
         0.8000,  -5.937811,    0.045,
         0.8500,  -5.933599,    0.046,
         0.9000,  -5.929503,    0.046,
         0.9500,  -5.925344,    0.046,
         1.0000,  -5.921194,    0.046,
         1.0500,  -5.917031,    0.047,
         1.1000,  -5.912817,    0.047,
         1.1500,  -5.908671,    0.047,
         1.2000,  -5.904510,    0.047,
         1.2500,  -5.900329,    0.047,
         1.3000,  -5.896210,    0.047,
         1.3500,  -5.892041,    0.047,
         1.4000,  -5.887867,    0.047,
         1.4500,  -5.883732,    0.047,
         1.5000,  -5.879545,    0.047,
         1.5500,  -5.875289,    0.047,
         1.6000,  -5.871010,    0.047,
         1.6500,  -5.866946,    0.047,
         1.7000,  -5.862675,    0.047,
         1.7500,  -5.858540,    0.047,
         1.8000,  -5.854385,    0.047,
         1.8500,  -5.850244,    0.047,
         1.9000,  -5.846059,    0.047,
         1.9500,  -5.841910,    0.047,
         2.0000,  -5.837772,    0.047,
         2.0500,  -5.833575,    0.047,
         2.1000,  -5.829462,    0.047,
         2.1500,  -5.825278,    0.047,
         2.2000,  -5.821106,    0.047,
         2.2500,  -5.816963,    0.047,
         2.3000,  -5.812606,    0.048,
         2.3500,  -5.808485,    0.048,
         2.4000,  -5.804312,    0.048,
         2.4500,  -5.800090,    0.048,
         2.5000,  -5.795975,    0.048,
         2.5500,  -5.791789,    0.048,
         2.6000,  -5.787665,    0.048,
         2.6500,  -5.783495,    0.048,
         2.7000,  -5.779354,    0.048,
         2.7500,  -5.775178,    0.048,
         2.8000,  -5.770993,    0.049,
         2.8500,  -5.766895,    0.049,
         2.9000,  -5.762718,    0.049,
         2.9500,  -5.758519,    0.049,
         3.0000,  -5.754214,    0.049,
         3.0500,  -5.750042,    0.049,
         3.1000,  -5.745896,    0.049,
         3.1500,  -5.741718,    0.049,
         3.2000,  -5.737583,    0.049,
         3.2500,  -5.733426,    0.049,
         3.3000,  -5.729237,    0.049,
         3.3500,  -5.725092,    0.049,
         3.4000,  -5.720926,    0.049,
         3.4500,  -5.716790,    0.049,
         3.5000,  -5.712609,    0.049,
         3.5500,  -5.708478,    0.049,
         3.6000,  -5.704365,    0.049,
         3.6500,  -5.700143,    0.049,
         3.7000,  -5.695887,    0.049,
         3.7500,  -5.691564,    0.049,
         3.8000,  -5.687460,    0.050,
         3.8500,  -5.683367,    0.049,
         3.9000,  -5.679191,    0.050,
         3.9500,  -5.675034,    0.050,
         4.0000,  -5.670865,    0.050,
         4.0500,  -5.666727,    0.050,
         4.1000,  -5.662558,    0.050,
         4.1500,  -5.658393,    0.050,
         4.2000,  -5.654240,    0.050,
         4.2500,  -5.650114,    0.050,
         4.3000,  -5.645972,    0.050,
         4.3500,  -5.641747,    0.051,
         4.4000,  -5.637430,    0.051,
         4.4500,  -5.633285,    0.051,
         4.5000,  -5.629098,    0.051,
         4.5500,  -5.624960,    0.051,
         4.6000,  -5.620803,    0.051,
         4.6500,  -5.616646,    0.051,
         4.7000,  -5.612498,    0.051,
         4.7500,  -5.608340,    0.051,
         4.8000,  -5.604210,    0.051,
         4.8500,  -5.600036,    0.051,
         4.9000,  -5.595869,    0.051,
         4.9500,  -5.591715,    0.051,
         5.0000,  -5.587594,    0.051,
         5.0500,  -5.583254,    0.051,
         5.1000,  -5.579059,    0.051,
         5.1500,  -5.574903,    0.051,
         5.2000,  -5.570741,    0.052,
         5.2500,  -5.566582,    0.052,
         5.3000,  -5.562425,    0.052,
         5.3500,  -5.558279,    0.052,
         5.4000,  -5.554137,    0.052,
         5.4500,  -5.549975,    0.052,
         5.5000,  -5.545801,    0.053,
         5.5500,  -5.541653,    0.053,
         5.6000,  -5.537492,    0.053,
         5.6500,  -5.533343,    0.053,
         5.7000,  -5.529144,    0.053,
         5.7500,  -5.524839,    0.053,
         5.8000,  -5.520703,    0.053,
         5.8500,  -5.516540,    0.053,
         5.9000,  -5.512368,    0.053,
         5.9500,  -5.508268,    0.054,
         6.0000,  -5.504063,    0.054,
         6.0500,  -5.499913,    0.054,
         6.1000,  -5.495782,    0.054,
         6.1500,  -5.491583,    0.054,
         6.2000,  -5.487453,    0.054,
         6.2500,  -5.483291,    0.054,
         6.3000,  -5.479119,    0.054,
         6.3500,  -5.474940,    0.054,
         6.4000,  -5.470646,    0.054,
         6.4500,  -5.466477,    0.054,
         6.5000,  -5.462330,    0.055,
         6.5500,  -5.458175,    0.055,
         6.6000,  -5.454003,    0.055,
