time,Force,Displacement
         0.0000,  -5.999838,    0.035,
         0.0500,  -5.999345,    0.035,
         0.1000,  -5.996527,    0.035,
         0.1500,  -5.992588,    0.036,
         0.2000,  -5.988519,    0.037,
         0.2500,  -5.984363,    0.037,
         0.3000,  -5.980160,    0.038,
         0.3500,  -5.976014,    0.038,
         0.4000,  -5.971826,    0.039,
         0.4500,  -5.967633,    0.039,
         0.5000,  -5.963481,    0.040,
         0.5500,  -5.959298,    0.041,
         0.6000,  -5.955117,    0.041,
         0.6500,  -5.950966,    0.041,
         0.7000,  -5.946792,    0.042,
         0.7500,  -5.942639,    0.043,
         0.8000,  -5.938425,    0.043,
         0.8500,  -5.934106,    0.044,
         0.9000,  -5.929927,    0.045,
         0.9500,  -5.925757,    0.045,
         1.0000,  -5.921580,    0.046,
         1.0500,  -5.917423,    0.046,
         1.1000,  -5.913271,    0.047,
         1.1500,  -5.909069,    0.047,
         1.2000,  -5.904911,    0.047,
         1.2500,  -5.900747,    0.048,
         1.3000,  -5.896594,    0.049,
         1.3500,  -5.892416,    0.049,
         1.4000,  -5.888258,    0.050,
         1.4500,  -5.884111,    0.051,
         1.5000,  -5.879904,    0.051,
         1.5500,  -5.875718,    0.051,
         1.6000,  -5.871450,    0.052,
         1.6500,  -5.867218,    0.053,
         1.7000,  -5.863116,    0.054,
         1.7500,  -5.858929,    0.054,
         1.8000,  -5.854794,    0.054,
         1.8500,  -5.850599,    0.055,
         1.9000,  -5.846414,    0.056,
         1.9500,  -5.842262,    0.056,
         2.0000,  -5.838122,    0.056,
         2.0500,  -5.833963,    0.057,
         2.1000,  -5.829786,    0.058,
         2.1500,  -5.825648,    0.058,
         2.2000,  -5.821449,    0.059,
         2.2500,  -5.817309,    0.059,
         2.3000,  -5.813000,    0.060,
         2.3500,  -5.808775,    0.060,
         2.4000,  -5.804654,    0.060,
         2.4500,  -5.800470,    0.061,
         2.5000,  -5.796348,    0.062,
         2.5500,  -5.792166,    0.062,
         2.6000,  -5.788026,    0.063,
         2.6500,  -5.783841,    0.063,
         2.7000,  -5.779686,    0.064,
         2.7500,  -5.775535,    0.064,
         2.8000,  -5.771342,    0.065,
         2.8500,  -5.767222,    0.066,
         2.9000,  -5.763048,    0.066,
         2.9500,  -5.758891,    0.066,
         3.0000,  -5.754610,    0.067,
         3.0500,  -5.750353,    0.068,
         3.1000,  -5.746244,    0.068,
         3.1500,  -5.742063,    0.069,
         3.2000,  -5.737915,    0.070,
         3.2500,  -5.733794,    0.070,
         3.3000,  -5.729588,    0.070,
         3.3500,  -5.725439,    0.071,
         3.4000,  -5.721278,    0.071,
         3.4500,  -5.717095,    0.072,
         3.5000,  -5.712969,    0.072,
         3.5500,  -5.708804,    0.073,
         3.6000,  -5.704652,    0.074,
         3.6500,  -5.700469,    0.075,
         3.7000,  -5.696199,    0.075,
         3.7500,  -5.692034,    0.075,
         3.8000,  -5.687810,    0.076,
         3.8500,  -5.683666,    0.077,
         3.9000,  -5.679529,    0.077,
         3.9500,  -5.675369,    0.077,
         4.0000,  -5.671208,    0.079,
         4.0500,  -5.667055,    0.079,
         4.1000,  -5.662871,    0.079,
         4.1500,  -5.658714,    0.080,
         4.2000,  -5.654555,    0.081,
         4.2500,  -5.650419,    0.081,
         4.3000,  -5.646284,    0.082,
         4.3500,  -5.642107,    0.082,
         4.4000,  -5.637749,    0.083,
         4.4500,  -5.633577,    0.083,
         4.5000,  -5.629499,    0.084,
         4.5500,  -5.625237,    0.085,
         4.6000,  -5.621180,    0.085,
         4.6500,  -5.616913,    0.086,
         4.7000,  -5.612823,    0.086,
         4.7500,  -5.608719,    0.087,
         4.8000,  -5.604468,    0.087,
         4.8500,  -5.600386,    0.088,
         4.9000,  -5.596148,    0.089,
         4.9500,  -5.592108,    0.089,
         5.0000,  -5.587829,    0.090,
         5.0500,  -5.583672,    0.090,
         5.1000,  -5.579397,    0.091,
         5.1500,  -5.575196,    0.091,
         5.2000,  -5.571104,    0.092,
         5.2500,  -5.566833,    0.093,
         5.3000,  -5.562800,    0.093,
         5.3500,  -5.558568,    0.094,
         5.4000,  -5.554430,    0.094,
         5.4500,  -5.550317,    0.095,
         5.5000,  -5.546095,    0.096,
         5.5500,  -5.542021,    0.096,
         5.6000,  -5.537776,    0.097,
         5.6500,  -5.533656,    0.098,
         5.7000,  -5.529462,    0.098,
         5.7500,  -5.525190,    0.098,
         5.8000,  -5.521023,    0.100,
         5.8500,  -5.516802,    0.100,
         5.9000,  -5.512731,    0.100,
         5.9500,  -5.508521,    0.101,
         6.0000,  -5.504383,    0.102,
         6.0500,  -5.500208,    0.102,
         6.1000,  -5.496063,    0.103,
         6.1500,  -5.491931,    0.104,
         6.2000,  -5.487739,    0.104,
         6.2500,  -5.483633,    0.105,
         6.3000,  -5.479408,    0.105,
         6.3500,  -5.475270,    0.106,
         6.4000,  -5.470984,    0.106,
         6.4500,  -5.466771,    0.107,
         6.5000,  -5.462657,    0.108,
         6.5500,  -5.458440,    0.108,
         6.6000,  -5.454342,    0.109,
         6.6500,  -5.450134,    0.110,
         6.7000,  -5.445963,    0.110,
         6.7500,  -5.441891,    0.111,
         6.8000,  -5.437650,    0.112,
         6.8500,  -5.433570,    0.112,
         6.9000,  -5.429346,    0.113,
         6.9500,  -5.425283,    0.114,
         7.0000,  -5.421042,    0.114,
         7.0500,  -5.416772,    0.115,
         7.1000,  -5.412580,    0.116,
         7.1500,  -5.408350,    0.117,
         7.2000,  -5.404275,    0.117,
         7.2500,  -5.400104,    0.118,
         7.3000,  -5.395941,    0.119,
         7.3500,  -5.391781,    0.119,
         7.4000,  -5.387607,    0.120,
         7.4500,  -5.383495,    0.121,
         7.5000,  -5.379260,    0.121,
         7.5500,  -5.375185,    0.122,
         7.6000,  -5.370990,    0.123,
         7.6500,  -5.366848,    0.123,
         7.7000,  -5.362531,    0.124,
         7.7500,  -5.358326,    0.125,
         7.8000,  -5.354208,    0.125,
         7.8500,  -5.350018,    0.126,
         7.9000,  -5.345885,    0.127,
         7.9500,  -5.341701,    0.127,
         8.0000,  -5.337554,    0.128,
         8.0500,  -5.333422,    0.129,
         8.1000,  -5.329263,    0.129,
         8.1500,  -5.325114,    0.130,
         8.2000,  -5.320913,    0.131,
         8.2500,  -5.316820,    0.131,
         8.3000,  -5.312597,    0.132,
         8.3500,  -5.308330,    0.133,
         8.4000,  -5.304148,    0.133,
         8.4500,  -5.299969,    0.135,
         8.5000,  -5.295838,    0.136,
         8.5500,  -5.291648,    0.136,
         8.6000,  -5.287529,    0.136,
         8.6500,  -5.283368,    0.138,
         8.7000,  -5.279195,    0.138,
         8.7500,  -5.275088,    0.139,
         8.8000,  -5.270881,    0.140,
         8.8500,  -5.266744,    0.140,
         8.9000,  -5.262586,    0.141,
         8.9500,  -5.258324,    0.142,
         9.0000,  -5.254101,    0.143,
         9.0500,  -5.249940,    0.144,
         9.1000,  -5.245798,    0.144,
         9.1500,  -5.241611,    0.145,
         9.2000,  -5.237525,    0.146,
         9.2500,  -5.233313,    0.146,
         9.3000,  -5.229178,    0.147,
         9.3500,  -5.225024,    0.148,
         9.4000,  -5.220854,    0.148,
         9.4500,  -5.216730,    0.149,
         9.5000,  -5.212558,    0.150,
         9.5500,  -5.208379,    0.150,
         9.6000,  -5.204069,    0.151,
         9.6500,  -5.199919,    0.152,
         9.7000,  -5.195739,    0.153,
         9.7500,  -5.191623,    0.154,
         9.8000,  -5.187453,    0.155,
         9.8500,  -5.183288,    0.156,
         9.9000,  -5.179120,    0.157,
         9.9500,  -5.174988,    0.158,
        10.0000,  -5.170826,    0.158,
        10.0500,  -5.166687,    0.159,
        10.1000,  -5.162508,    0.160,
        10.1500,  -5.158393,    0.161,
        10.2000,  -5.154108,    0.161,
        10.2500,  -5.149857,    0.162,
        10.3000,  -5.145743,    0.163,
        10.3500,  -5.141551,    0.164,
        10.4000,  -5.137437,    0.165,
        10.4500,  -5.133252,    0.165,
        10.5000,  -5.129102,    0.167,
        10.5500,  -5.124967,    0.167,
        10.6000,  -5.120836,    0.169,
        10.6500,  -5.116657,    0.169,
        10.7000,  -5.112481,    0.170,
        10.7500,  -5.108344,    0.171,
        10.8000,  -5.104145,    0.172,
        10.8500,  -5.099854,    0.173,
        10.9000,  -5.095690,    0.173,
        10.9500,  -5.091560,    0.174,
        11.0000,  -5.087399,    0.175,
        11.0500,  -5.083231,    0.176,
        11.1000,  -5.079081,    0.177,
        11.1500,  -5.074937,    0.178,
        11.2000,  -5.070779,    0.179,
        11.2500,  -5.066662,    0.180,
        11.3000,  -5.062489,    0.180,
        11.3500,  -5.058325,    0.182,
        11.4000,  -5.054090,    0.182,
        11.4500,  -5.049848,    0.184,
        11.5000,  -5.045688,    0.184,
        11.5500,  -5.041536,    0.185,
        11.6000,  -5.037361,    0.186,
        11.6500,  -5.033241,    0.187,
        11.7000,  -5.029083,    0.188,
        11.7500,  -5.024915,    0.189,
        11.8000,  -5.020772,    0.190,
        11.8500,  -5.016606,    0.190,
        11.9000,  -5.012493,    0.192,
        11.9500,  -5.008303,    0.193,
        12.0000,  -5.004076,    0.194,
        12.0500,  -4.999841,    0.194,
        12.1000,  -4.995691,    0.196,
        12.1500,  -4.991493,    0.196,
        12.2000,  -4.987312,    0.198,
        12.2500,  -4.983212,    0.199,
        12.3000,  -4.979080,    0.200,
        12.3500,  -4.974904,    0.201,
        12.4000,  -4.970704,    0.201,
        12.4500,  -4.966578,    0.203,
        12.5000,  -4.962478,    0.204,
        12.5500,  -4.958302,    0.205,
        12.6000,  -4.954047,    0.206,
        12.6500,  -4.949784,    0.207,
        12.7000,  -4.945649,    0.208,
        12.7500,  -4.941484,    0.209,
        12.8000,  -4.937316,    0.210,
        12.8500,  -4.933157,    0.211,
        12.9000,  -4.929025,    0.212,
        12.9500,  -4.924901,    0.213,
        13.0000,  -4.920706,    0.214,
        13.0500,  -4.916558,    0.215,
        13.1000,  -4.912426,    0.216,
        13.1500,  -4.908268,    0.217,
        13.2000,  -4.904036,    0.218,
        13.2500,  -4.899751,    0.220,
        13.3000,  -4.895635,    0.220,
        13.3500,  -4.891457,    0.222,
        13.4000,  -4.887274,    0.222,
        13.4500,  -4.883173,    0.224,
        13.5000,  -4.879004,    0.225,
        13.5500,  -4.874861,    0.226,
        13.6000,  -4.870682,    0.227,
        13.6500,  -4.866565,    0.228,
        13.7000,  -4.862400,    0.229,
        13.7500,  -4.858233,    0.230,
        13.8000,  -4.853950,    0.231,
        13.8500,  -4.849754,    0.232,
        13.9000,  -4.845626,    0.234,
        13.9500,  -4.841424,    0.234,
        14.0000,  -4.837270,    0.236,
        14.0500,  -4.833129,    0.236,
        14.1000,  -4.829002,    0.238,
        14.1500,  -4.824853,    0.239,
        14.2000,  -4.820663,    0.241,
        14.2500,  -4.816519,    0.242,
        14.3000,  -4.812390,    0.243,
        14.3500,  -4.808227,    0.244,
        14.4000,  -4.803850,    0.245,
        14.4500,  -4.799706,    0.247,
        14.5000,  -4.795602,    0.247,
        14.5500,  -4.791382,    0.249,
        14.6000,  -4.787216,    0.250,
        14.6500,  -4.783113,    0.251,
        14.7000,  -4.778974,    0.253,
        14.7500,  -4.774778,    0.254,
        14.8000,  -4.770628,    0.255,
        14.8500,  -4.766509,    0.256,
        14.9000,  -4.762322,    0.257,
        14.9500,  -4.758128,    0.259,
        15.0000,  -4.753840,    0.259,
        15.0500,  -4.749675,    0.261,
        15.1000,  -4.745533,    0.262,
        15.1500,  -4.741357,    0.264,
        15.2000,  -4.737250,    0.265,
        15.2500,  -4.733071,    0.266,
        15.3000,  -4.728935,    0.268,
        15.3500,  -4.724761,    0.268,
        15.4000,  -4.720586,    0.270,
        15.4500,  -4.716514,    0.271,
        15.5000,  -4.712264,    0.272,
        15.5500,  -4.708022,    0.273,
        15.6000,  -4.703798,    0.274,
        15.6500,  -4.699647,    0.276,
        15.7000,  -4.695533,    0.278,
        15.7500,  -4.691312,    0.278,
        15.8000,  -4.687284,    0.280,
        15.8500,  -4.683009,    0.281,
        15.9000,  -4.678909,    0.283,
        15.9500,  -4.674733,    0.283,
        16.0000,  -4.670565,    0.285,
        16.0500,  -4.666476,    0.286,
        16.1000,  -4.662261,    0.287,
        16.1500,  -4.657988,    0.289,
        16.2000,  -4.653791,    0.290,
        16.2500,  -4.649626,    0.291,
        16.3000,  -4.645512,    0.293,
        16.3500,  -4.641315,    0.293,
        16.4000,  -4.637210,    0.295,
        16.4500,  -4.633002,    0.296,
        16.5000,  -4.628893,    0.297,
        16.5500,  -4.624720,    0.299,
        16.6000,  -4.620551,    0.300,
        16.6500,  -4.616431,    0.301,
        16.7000,  -4.612147,    0.303,
        16.7500,  -4.607927,    0.304,
        16.8000,  -4.603760,    0.306,
        16.8500,  -4.599681,    0.306,
        16.9000,  -4.595441,    0.308,
        16.9500,  -4.591335,    0.309,
        17.0000,  -4.587143,    0.310,
        17.0500,  -4.583026,    0.312,
        17.1000,  -4.578874,    0.314,
        17.1500,  -4.574706,    0.314,
        17.2000,  -4.570552,    0.316,
        17.2500,  -4.566386,    0.317,
        17.3000,  -4.562043,    0.318,
        17.3500,  -4.557936,    0.320,
        17.4000,  -4.553756,    0.320,
        17.4500,  -4.549620,    0.322,
        17.5000,  -4.545483,    0.324,
        17.5500,  -4.541287,    0.325,
        17.6000,  -4.537157,    0.327,
        17.6500,  -4.532994,    0.328,
        17.7000,  -4.528890,    0.329,
        17.7500,  -4.524701,    0.331,
        17.8000,  -4.520591,    0.332,
        17.8500,  -4.516245,    0.333,
        17.9000,  -4.512067,    0.335,
