Time,Displacement,Force
         0.0000,  -5.999835,    0.000,
         0.0500,  -5.999300,    0.000,
         0.1000,  -5.996503,    0.000,
         0.1500,  -5.992606,    0.001,
         0.2000,  -5.988535,    0.002,
         0.2500,  -5.984366,    0.003,
         0.3000,  -5.980196,    0.004,
         0.3500,  -5.976035,    0.005,
         0.4000,  -5.971844,    0.006,
         0.4500,  -5.967651,    0.007,
         0.5000,  -5.963502,    0.008,
         0.5500,  -5.959305,    0.009,
         0.6000,  -5.955136,    0.009,
         0.6500,  -5.951008,    0.010,
         0.7000,  -5.946813,    0.012,
         0.7500,  -5.942667,    0.012,
         0.8000,  -5.938432,    0.013,
         0.8500,  -5.934124,    0.014,
         0.9000,  -5.929940,    0.015,
         0.9500,  -5.925771,    0.016,
         1.0000,  -5.921604,    0.017,
         1.0500,  -5.917427,    0.018,
         1.1000,  -5.913247,    0.019,
         1.1500,  -5.909109,    0.020,
         1.2000,  -5.904937,    0.021,
         1.2500,  -5.900767,    0.022,
         1.3000,  -5.896589,    0.022,
         1.3500,  -5.892418,    0.023,
         1.4000,  -5.888266,    0.024,
         1.4500,  -5.884101,    0.025,
         1.5000,  -5.879955,    0.026,
         1.5500,  -5.875696,    0.027,
         1.6000,  -5.871446,    0.028,
         1.6500,  -5.867257,    0.029,
         1.7000,  -5.863095,    0.030,
         1.7500,  -5.858926,    0.030,
         1.8000,  -5.854760,    0.032,
         1.8500,  -5.850617,    0.033,
         1.9000,  -5.846442,    0.033,
         1.9500,  -5.842271,    0.035,
         2.0000,  -5.838132,    0.035,
         2.0500,  -5.833987,    0.036,
         2.1000,  -5.829828,    0.037,
         2.1500,  -5.825651,    0.037,
         2.2000,  -5.821491,    0.039,
         2.2500,  -5.817282,    0.039,
         2.3000,  -5.812998,    0.041,
         2.3500,  -5.808838,    0.041,
         2.4000,  -5.804653,    0.043,
         2.4500,  -5.800499,    0.043,
         2.5000,  -5.796350,    0.045,
         2.5500,  -5.792179,    0.045,
         2.6000,  -5.788010,    0.046,
         2.6500,  -5.783828,    0.047,
         2.7000,  -5.779715,    0.048,
         2.7500,  -5.775516,    0.049,
         2.8000,  -5.771393,    0.049,
         2.8500,  -5.767215,    0.051,
         2.9000,  -5.763076,    0.051,
         2.9500,  -5.758931,    0.053,
         3.0000,  -5.754569,    0.054,
         3.0500,  -5.750397,    0.055,
         3.1000,  -5.746241,    0.056,
         3.1500,  -5.742078,    0.057,
         3.2000,  -5.737901,    0.058,
         3.2500,  -5.733738,    0.059,
         3.3000,  -5.729669,    0.060,
         3.3500,  -5.725442,    0.060,
         3.4000,  -5.721283,    0.062,
         3.4500,  -5.717147,    0.062,
         3.5000,  -5.712973,    0.064,
         3.5500,  -5.708820,    0.065,
         3.6000,  -5.704618,    0.066,
         3.6500,  -5.700545,    0.066,
         3.7000,  -5.696183,    0.068,
         3.7500,  -5.691990,    0.068,
         3.8000,  -5.687856,    0.070,
         3.8500,  -5.683689,    0.071,
         3.9000,  -5.679564,    0.072,
         3.9500,  -5.675345,    0.072,
         4.0000,  -5.671239,    0.074,
         4.0500,  -5.667059,    0.075,
         4.1000,  -5.662899,    0.076,
         4.1500,  -5.658737,    0.077,
         4.2000,  -5.654542,    0.078,
         4.2500,  -5.650446,    0.079,
         4.3000,  -5.646290,    0.080,
         4.3500,  -5.642117,    0.081,
         4.4000,  -5.637782,    0.082,
         4.4500,  -5.633619,    0.083,
         4.5000,  -5.629431,    0.085,
         4.5500,  -5.625307,    0.085,
         4.6000,  -5.621141,    0.087,
         4.6500,  -5.617013,    0.087,
         4.7000,  -5.612841,    0.089,
         4.7500,  -5.608660,    0.089,
         4.8000,  -5.604539,    0.091,
         4.8500,  -5.600368,    0.091,
         4.9000,  -5.596188,    0.093,
         4.9500,  -5.592045,    0.094,
         5.0000,  -5.587915,    0.095,
         5.0500,  -5.583675,    0.096,
         5.1000,  -5.579420,    0.097,
         5.1500,  -5.575209,    0.098,
         5.2000,  -5.571084,    0.100,
         5.2500,  -5.566926,    0.100,
         5.3000,  -5.562733,    0.102,
         5.3500,  -5.558621,    0.102,
         5.4000,  -5.554444,    0.104,
         5.4500,  -5.550311,    0.105,
         5.5000,  -5.546129,    0.106,
         5.5500,  -5.541967,    0.107,
         5.6000,  -5.537838,    0.108,
         5.6500,  -5.533635,    0.110,
         5.7000,  -5.529536,    0.110,
         5.7500,  -5.525170,    0.112,
         5.8000,  -5.521042,    0.112,
         5.8500,  -5.516861,    0.114,
         5.9000,  -5.512724,    0.114,
         5.9500,  -5.508523,    0.116,
         6.0000,  -5.504380,    0.117,
         6.0500,  -5.500212,    0.119,
         6.1000,  -5.496067,    0.119,
         6.1500,  -5.491951,    0.121,
         6.2000,  -5.487751,    0.122,
         6.2500,  -5.483633,    0.123,
         6.3000,  -5.479434,    0.124,
         6.3500,  -5.475277,    0.125,
         6.4000,  -5.471012,    0.127,
         6.4500,  -5.466792,    0.127,
         6.5000,  -5.462624,    0.129,
         6.5500,  -5.458470,    0.130,
         6.6000,  -5.454328,    0.131,
