time,Force,Displacement
         0.0000,  -5.999816,    0.031,
         0.0500,  -5.999416,    0.031,
         0.1000,  -5.996513,    0.032,
         0.1500,  -5.992592,    0.033,
         0.2000,  -5.988456,    0.034,
         0.2500,  -5.984343,    0.035,
         0.3000,  -5.980311,    0.036,
         0.3500,  -5.975965,    0.037,
         0.4000,  -5.971886,    0.038,
         0.4500,  -5.967683,    0.039,
         0.5000,  -5.963448,    0.040,
         0.5500,  -5.959283,    0.041,
         0.6000,  -5.955021,    0.041,
         0.6500,  -5.951026,    0.043,
         0.7000,  -5.946797,    0.043,
         0.7500,  -5.942765,    0.045,
         0.8000,  -5.938318,    0.045,
         0.8500,  -5.934122,    0.046,
         0.9000,  -5.929889,    0.047,
         0.9500,  -5.925784,    0.048,
         1.0000,  -5.921518,    0.049,
         1.0500,  -5.917474,    0.050,
         1.1000,  -5.913313,    0.051,
         1.1500,  -5.909057,    0.052,
         1.2000,  -5.904955,    0.053,
         1.2500,  -5.900751,    0.054,
         1.3000,  -5.896666,    0.055,
         1.3500,  -5.892532,    0.056,
         1.4000,  -5.888197,    0.057,
         1.4500,  -5.884017,    0.058,
         1.5000,  -5.879948,    0.058,
         1.5500,  -5.875704,    0.060,
         1.6000,  -5.871401,    0.060,
         1.6500,  -5.867282,    0.062,
         1.7000,  -5.863196,    0.062,
         1.7500,  -5.858866,    0.063,
         1.8000,  -5.854798,    0.064,
         1.8500,  -5.850545,    0.065,
         1.9000,  -5.846402,    0.066,
         1.9500,  -5.842370,    0.067,
         2.0000,  -5.838193,    0.068,
         2.0500,  -5.833974,    0.069,
         2.1000,  -5.829733,    0.070,
         2.1500,  -5.825734,    0.071,
         2.2000,  -5.821503,    0.072,
         2.2500,  -5.817223,    0.072,
         2.3000,  -5.812924,    0.074,
         2.3500,  -5.808881,    0.075,
         2.4000,  -5.804677,    0.075,
         2.4500,  -5.800473,    0.077,
         2.5000,  -5.796371,    0.077,
         2.5500,  -5.792093,    0.079,
         2.6000,  -5.788022,    0.079,
         2.6500,  -5.783935,    0.080,
         2.7000,  -5.779654,    0.081,
         2.7500,  -5.775502,    0.083,
         2.8000,  -5.771437,    0.083,
         2.8500,  -5.767196,    0.084,
         2.9000,  -5.763072,    0.085,
         2.9500,  -5.758957,    0.086,
         3.0000,  -5.754564,    0.087,
         3.0500,  -5.750419,    0.088,
         3.1000,  -5.746200,    0.089,
         3.1500,  -5.742103,    0.090,
         3.2000,  -5.737896,    0.091,
         3.2500,  -5.733790,    0.092,
         3.3000,  -5.729626,    0.093,
         3.3500,  -5.725471,    0.094,
         3.4000,  -5.721338,    0.095,
         3.4500,  -5.717128,    0.096,
         3.5000,  -5.712929,    0.097,
         3.5500,  -5.708770,    0.098,
         3.6000,  -5.704642,    0.099,
         3.6500,  -5.700528,    0.100,
         3.7000,  -5.696194,    0.101,
         3.7500,  -5.692073,    0.102,
         3.8000,  -5.687865,    0.103,
         3.8500,  -5.683726,    0.104,
         3.9000,  -5.679420,    0.105,
         3.9500,  -5.675371,    0.106,
         4.0000,  -5.671159,    0.107,
         4.0500,  -5.667173,    0.108,
         4.1000,  -5.662914,    0.109,
         4.1500,  -5.658779,    0.110,
         4.2000,  -5.654541,    0.111,
         4.2500,  -5.650437,    0.112,
         4.3000,  -5.646218,    0.113,
         4.3500,  -5.642150,    0.114,
         4.4000,  -5.637772,    0.115,
         4.4500,  -5.633528,    0.117,
         4.5000,  -5.629507,    0.117,
         4.5500,  -5.625381,    0.119,
         4.6000,  -5.621051,    0.119,
         4.6500,  -5.617029,    0.121,
         4.7000,  -5.612879,    0.122,
         4.7500,  -5.608643,    0.123,
         4.8000,  -5.604511,    0.124,
