time,Force,Displacement
         0.0000,  -5.999814,    0.018,
         0.0500,  -5.999210,    0.018,
         0.1000,  -5.996050,    0.018,
         0.1500,  -5.992026,    0.018,
         0.2000,  -5.987871,    0.018,
         0.2500,  -5.983730,    0.018,
         0.3000,  -5.979543,    0.018,
         0.3500,  -5.975378,    0.018,
         0.4000,  -5.971197,    0.019,
         0.4500,  -5.967017,    0.019,
         0.5000,  -5.962853,    0.019,
         0.5500,  -5.958673,    0.019,
         0.6000,  -5.954501,    0.019,
         0.6500,  -5.950351,    0.019,
         0.7000,  -5.946192,    0.019,
         0.7500,  -5.942030,    0.019,
         0.8000,  -5.937788,    0.019,
         0.8500,  -5.933509,    0.019,
         0.9000,  -5.929321,    0.020,
         0.9500,  -5.925160,    0.020,
         1.0000,  -5.920986,    0.020,
         1.0500,  -5.916849,    0.020,
         1.1000,  -5.912679,    0.020,
         1.1500,  -5.908481,    0.020,
         1.2000,  -5.904321,    0.020,
         1.2500,  -5.900186,    0.020,
         1.3000,  -5.896000,    0.020,
         1.3500,  -5.891860,    0.020,
         1.4000,  -5.887675,    0.020,
         1.4500,  -5.883523,    0.020,
         1.5000,  -5.879377,    0.020,
         1.5500,  -5.875080,    0.020,
         1.6000,  -5.870837,    0.020,
         1.6500,  -5.866670,    0.020,
         1.7000,  -5.862519,    0.020,
         1.7500,  -5.858354,    0.020,
         1.8000,  -5.854193,    0.021,
         1.8500,  -5.850044,    0.021,
         1.9000,  -5.845875,    0.021,
         1.9500,  -5.841714,    0.021,
         2.0000,  -5.837522,    0.021,
         2.0500,  -5.833395,    0.021,
         2.1000,  -5.829231,    0.021,
         2.1500,  -5.825087,    0.021,
         2.2000,  -5.820933,    0.021,
         2.2500,  -5.816713,    0.021,
         2.3000,  -5.812434,    0.022,
         2.3500,  -5.808246,    0.022,
         2.4000,  -5.804083,    0.022,
         2.4500,  -5.799932,    0.022,
         2.5000,  -5.795762,    0.022,
         2.5500,  -5.791618,    0.022,
         2.6000,  -5.787464,    0.022,
         2.6500,  -5.783290,    0.022,
         2.7000,  -5.779143,    0.022,
         2.7500,  -5.774977,    0.022,
         2.8000,  -5.770826,    0.022,
         2.8500,  -5.766680,    0.022,
         2.9000,  -5.762533,    0.022,
         2.9500,  -5.758328,    0.022,
         3.0000,  -5.754034,    0.022,
         3.0500,  -5.749851,    0.022,
         3.1000,  -5.745682,    0.022,
         3.1500,  -5.741537,    0.023,
         3.2000,  -5.737383,    0.023,
         3.2500,  -5.733238,    0.023,
         3.3000,  -5.729071,    0.023,
         3.3500,  -5.724906,    0.023,
         3.4000,  -5.720739,    0.023,
         3.4500,  -5.716569,    0.023,
         3.5000,  -5.712430,    0.023,
         3.5500,  -5.708248,    0.024,
         3.6000,  -5.704144,    0.024,
         3.6500,  -5.699976,    0.024,
         3.7000,  -5.695650,    0.024,
         3.7500,  -5.691474,    0.024,
         3.8000,  -5.687285,    0.024,
         3.8500,  -5.683150,    0.024,
         3.9000,  -5.678985,    0.024,
         3.9500,  -5.674838,    0.024,
         4.0000,  -5.670684,    0.025,
         4.0500,  -5.666528,    0.025,
         4.1000,  -5.662360,    0.025,
         4.1500,  -5.658191,    0.025,
         4.2000,  -5.654043,    0.025,
         4.2500,  -5.649908,    0.025,
         4.3000,  -5.645723,    0.025,
         4.3500,  -5.641555,    0.025,
         4.4000,  -5.637247,    0.025,
         4.4500,  -5.633074,    0.026,
         4.5000,  -5.628908,    0.025,
         4.5500,  -5.624752,    0.026,
         4.6000,  -5.620590,    0.026,
         4.6500,  -5.616478,    0.026,
         4.7000,  -5.612292,    0.026,
         4.7500,  -5.608147,    0.026,
         4.8000,  -5.604006,    0.026,
         4.8500,  -5.599793,    0.026,
         4.9000,  -5.595690,    0.026,
         4.9500,  -5.591528,    0.026,
         5.0000,  -5.587348,    0.026,
         5.0500,  -5.583119,    0.026,
         5.1000,  -5.578856,    0.026,
         5.1500,  -5.574714,    0.026,
         5.2000,  -5.570538,    0.026,
