Time,Displacement,Force
         0.0000,  -5.999596,    0.008,
         0.0500,  -5.999028,    0.008,
         0.1000,  -5.995838,    0.008,
         0.1500,  -5.991790,    0.008,
         0.2000,  -5.987783,    0.009,
         0.2500,  -5.983494,    0.009,
         0.3000,  -5.979294,    0.009,
         0.3500,  -5.975235,    0.009,
         0.4000,  -5.971062,    0.009,
         0.4500,  -5.966849,    0.009,
         0.5000,  -5.962586,    0.009,
         0.5500,  -5.958548,    0.010,
         0.6000,  -5.954228,    0.010,
         0.6500,  -5.950202,    0.011,
         0.7000,  -5.946003,    0.011,
         0.7500,  -5.941858,    0.011,
         0.8000,  -5.937525,    0.012,
         0.8500,  -5.933329,    0.012,
         0.9000,  -5.929145,    0.012,
         0.9500,  -5.924992,    0.012,
         1.0000,  -5.920826,    0.012,
         1.0500,  -5.916666,    0.012,
         1.1000,  -5.912448,    0.013,
         1.1500,  -5.908313,    0.013,
         1.2000,  -5.904170,    0.013,
         1.2500,  -5.899986,    0.014,
         1.3000,  -5.895761,    0.014,
         1.3500,  -5.891641,    0.014,
         1.4000,  -5.887489,    0.014,
         1.4500,  -5.883291,    0.014,
         1.5000,  -5.879192,    0.014,
         1.5500,  -5.874950,    0.015,
         1.6000,  -5.870642,    0.015,
         1.6500,  -5.866425,    0.015,
         1.7000,  -5.862348,    0.016,
         1.7500,  -5.858199,    0.016,
         1.8000,  -5.853951,    0.016,
         1.8500,  -5.849884,    0.016,
         1.9000,  -5.845761,    0.016,
         1.9500,  -5.841545,    0.017,
         2.0000,  -5.837317,    0.017,
         2.0500,  -5.833191,    0.017,
         2.1000,  -5.829103,    0.018,
         2.1500,  -5.824816,    0.018,
         2.2000,  -5.820737,    0.018,
         2.2500,  -5.816552,    0.018,
         2.3000,  -5.812173,    0.018,
         2.3500,  -5.808088,    0.019,
         2.4000,  -5.803907,    0.019,
         2.4500,  -5.799751,    0.019,
         2.5000,  -5.795543,    0.020,
         2.5500,  -5.791451,    0.020,
         2.6000,  -5.787307,    0.020,
         2.6500,  -5.782998,    0.020,
         2.7000,  -5.779000,    0.020,
         2.7500,  -5.774828,    0.021,
         2.8000,  -5.770656,    0.021,
         2.8500,  -5.766530,    0.021,
         2.9000,  -5.762231,    0.022,
         2.9500,  -5.758202,    0.022,
         3.0000,  -5.753765,    0.022,
         3.0500,  -5.749665,    0.022,
         3.1000,  -5.745531,    0.022,
         3.1500,  -5.741338,    0.022,
         3.2000,  -5.737145,    0.023,
         3.2500,  -5.733062,    0.023,
         3.3000,  -5.728882,    0.023,
         3.3500,  -5.724644,    0.024,
         3.4000,  -5.720595,    0.024,
         3.4500,  -5.716430,    0.024,
         3.5000,  -5.712124,    0.024,
         3.5500,  -5.708170,    0.024,
         3.6000,  -5.703899,    0.025,
         3.6500,  -5.699720,    0.025,
         3.7000,  -5.695445,    0.026,
         3.7500,  -5.691253,    0.026,
         3.8000,  -5.687097,    0.026,
         3.8500,  -5.683038,    0.026,
         3.9000,  -5.678797,    0.026,
         3.9500,  -5.674598,    0.027,
         4.0000,  -5.670562,    0.027,
         4.0500,  -5.666321,    0.028,
         4.1000,  -5.662089,    0.028,
         4.1500,  -5.658041,    0.028,
         4.2000,  -5.653896,    0.028,
         4.2500,  -5.649719,    0.028,
         4.3000,  -5.645571,    0.029,
         4.3500,  -5.641419,    0.029,
         4.4000,  -5.637016,    0.030,
         4.4500,  -5.632877,    0.030,
         4.5000,  -5.628651,    0.030,
         4.5500,  -5.624619,    0.030,
         4.6000,  -5.620464,    0.030,
         4.6500,  -5.616193,    0.031,
         4.7000,  -5.612095,    0.031,
         4.7500,  -5.607878,    0.032,
         4.8000,  -5.603775,    0.032,
         4.8500,  -5.599728,    0.033,
         4.9000,  -5.595410,    0.033,
         4.9500,  -5.591357,    0.033,
         5.0000,  -5.587204,    0.033,
         5.0500,  -5.582795,    0.033,
         5.1000,  -5.578719,    0.034,
         5.1500,  -5.574561,    0.035,
         5.2000,  -5.570420,    0.035,
         5.2500,  -5.566162,    0.035,
         5.3000,  -5.562081,    0.035,
         5.3500,  -5.557892,    0.036,
         5.4000,  -5.553712,    0.036,
         5.4500,  -5.549600,    0.036,
         5.5000,  -5.545459,    0.037,
         5.5500,  -5.541288,    0.037,
         5.6000,  -5.537069,    0.037,
         5.6500,  -5.532916,    0.038,
         5.7000,  -5.528803,    0.038,
         5.7500,  -5.524414,    0.039,
         5.8000,  -5.520355,    0.039,
         5.8500,  -5.516161,    0.039,
         5.9000,  -5.511993,    0.039,
         5.9500,  -5.507864,    0.040,
         6.0000,  -5.503663,    0.041,
         6.0500,  -5.499418,    0.041,
         6.1000,  -5.495439,    0.041,
         6.1500,  -5.491251,    0.042,
         6.2000,  -5.487033,    0.042,
         6.2500,  -5.482908,    0.042,
         6.3000,  -5.478791,    0.043,
         6.3500,  -5.474557,    0.043,
         6.4000,  -5.470158,    0.043,
         6.4500,  -5.466077,    0.044,
         6.5000,  -5.461974,    0.045,
         6.5500,  -5.457796,    0.045,
         6.6000,  -5.453622,    0.045,
         6.6500,  -5.449475,    0.045,
         6.7000,  -5.445280,    0.046,
         6.7500,  -5.441172,    0.047,
         6.8000,  -5.436969,    0.047,
         6.8500,  -5.432827,    0.047,
         6.9000,  -5.428739,    0.048,
         6.9500,  -5.424628,    0.049,
         7.0000,  -5.420284,    0.049,
         7.0500,  -5.416084,    0.049,
         7.1000,  -5.411852,    0.049,
         7.1500,  -5.407777,    0.050,
         7.2000,  -5.403598,    0.051,
         7.2500,  -5.399507,    0.051,
         7.3000,  -5.395278,    0.051,
         7.3500,  -5.390977,    0.052,
