Time,Displacement,Force
         0.0000,  -5.999617,    0.026,
         0.0500,  -5.998989,    0.026,
         0.1000,  -5.995989,    0.026,
         0.1500,  -5.992023,    0.026,
         0.2000,  -5.987892,    0.026,
         0.2500,  -5.983740,    0.026,
         0.3000,  -5.979566,    0.026,
         0.3500,  -5.975391,    0.026,
         0.4000,  -5.971212,    0.026,
         0.4500,  -5.967027,    0.026,
         0.5000,  -5.962880,    0.026,
         0.5500,  -5.958694,    0.027,
         0.6000,  -5.954523,    0.027,
         0.6500,  -5.950371,    0.027,
         0.7000,  -5.946206,    0.027,
         0.7500,  -5.942030,    0.027,
         0.8000,  -5.937811,    0.028,
         0.8500,  -5.933509,    0.028,
         0.9000,  -5.929352,    0.028,
         0.9500,  -5.925168,    0.028,
         1.0000,  -5.920995,    0.028,
         1.0500,  -5.916823,    0.028,
         1.1000,  -5.912673,    0.028,
         1.1500,  -5.908500,    0.028,
         1.2000,  -5.904311,    0.029,
         1.2500,  -5.900183,    0.029,
         1.3000,  -5.896057,    0.029,
         1.3500,  -5.891847,    0.029,
         1.4000,  -5.887706,    0.029,
         1.4500,  -5.883536,    0.030,
         1.5000,  -5.879361,    0.030,
         1.5500,  -5.875073,    0.030,
         1.6000,  -5.870843,    0.030,
         1.6500,  -5.866691,    0.030,
         1.7000,  -5.862518,    0.030,
         1.7500,  -5.858387,    0.030,
         1.8000,  -5.854198,    0.030,
         1.8500,  -5.850051,    0.030,
         1.9000,  -5.845878,    0.031,
         1.9500,  -5.841721,    0.031,
         2.0000,  -5.837545,    0.031,
         2.0500,  -5.833425,    0.031,
         2.1000,  -5.829227,    0.032,
         2.1500,  -5.825098,    0.032,
         2.2000,  -5.820949,    0.032,
         2.2500,  -5.816715,    0.032,
         2.3000,  -5.812441,    0.032,
         2.3500,  -5.808246,    0.033,
         2.4000,  -5.804100,    0.033,
         2.4500,  -5.799934,    0.033,
         2.5000,  -5.795783,    0.033,
         2.5500,  -5.791627,    0.033,
         2.6000,  -5.787445,    0.033,
         2.6500,  -5.783316,    0.033,
         2.7000,  -5.779165,    0.033,
         2.7500,  -5.774995,    0.033,
         2.8000,  -5.770838,    0.034,
         2.8500,  -5.766693,    0.034,
         2.9000,  -5.762485,    0.034,
         2.9500,  -5.758370,    0.034,
         3.0000,  -5.754012,    0.034,
         3.0500,  -5.749854,    0.035,
         3.1000,  -5.745668,    0.035,
         3.1500,  -5.741544,    0.035,
         3.2000,  -5.737386,    0.035,
         3.2500,  -5.733200,    0.035,
         3.3000,  -5.729094,    0.035,
         3.3500,  -5.724894,    0.035,
         3.4000,  -5.720734,    0.036,
         3.4500,  -5.716600,    0.036,
         3.5000,  -5.712429,    0.036,
         3.5500,  -5.708292,    0.036,
         3.6000,  -5.704122,    0.037,
         3.6500,  -5.699981,    0.037,
         3.7000,  -5.695683,    0.037,
         3.7500,  -5.691440,    0.037,
         3.8000,  -5.687309,    0.037,
         3.8500,  -5.683131,    0.037,
         3.9000,  -5.679011,    0.037,
         3.9500,  -5.674840,    0.037,
         4.0000,  -5.670648,    0.038,
         4.0500,  -5.666528,    0.038,
         4.1000,  -5.662379,    0.038,
         4.1500,  -5.658197,    0.038,
         4.2000,  -5.654058,    0.038,
         4.2500,  -5.649902,    0.039,
         4.3000,  -5.645745,    0.039,
         4.3500,  -5.641551,    0.039,
         4.4000,  -5.637252,    0.039,
         4.4500,  -5.633069,    0.039,
         4.5000,  -5.628925,    0.039,
         4.5500,  -5.624756,    0.039,
         4.6000,  -5.620593,    0.039,
         4.6500,  -5.616439,    0.039,
         4.7000,  -5.612317,    0.040,
         4.7500,  -5.608153,    0.040,
         4.8000,  -5.603991,    0.040,
         4.8500,  -5.599821,    0.040,
         4.9000,  -5.595675,    0.040,
         4.9500,  -5.591533,    0.041,
         5.0000,  -5.587393,    0.041,
         5.0500,  -5.583108,    0.041,
         5.1000,  -5.578874,    0.041,
         5.1500,  -5.574690,    0.041,
         5.2000,  -5.570557,    0.041,
         5.2500,  -5.566420,    0.041,
         5.3000,  -5.562244,    0.041,
         5.3500,  -5.558098,    0.042,
         5.4000,  -5.553929,    0.042,
         5.4500,  -5.549758,    0.042,
         5.5000,  -5.545631,    0.043,
         5.5500,  -5.541460,    0.043,
         5.6000,  -5.537288,    0.043,
         5.6500,  -5.533140,    0.043,
         5.7000,  -5.528952,    0.043,
         5.7500,  -5.524657,    0.043,
         5.8000,  -5.520488,    0.044,
