time,Force,Displacement
         0.0000,  -6.000122,    0.039,
         0.0500,  -5.999709,    0.039,
         0.1000,  -5.996510,    0.040,
         0.1500,  -5.992456,    0.041,
         0.2000,  -5.988156,    0.041,
         0.2500,  -5.984152,    0.041,
         0.3000,  -5.979991,    0.041,
         0.3500,  -5.975702,    0.042,
         0.4000,  -5.971633,    0.042,
         0.4500,  -5.967450,    0.043,
         0.5000,  -5.963140,    0.043,
         0.5500,  -5.959099,    0.043,
         0.6000,  -5.954933,    0.043,
         0.6500,  -5.950775,    0.044,
         0.7000,  -5.946546,    0.044,
         0.7500,  -5.942429,    0.045,
         0.8000,  -5.938209,    0.045,
         0.8500,  -5.933895,    0.045,
         0.9000,  -5.929688,    0.046,
         0.9500,  -5.925571,    0.046,
         1.0000,  -5.921378,    0.047,
         1.0500,  -5.917249,    0.047,
         1.1000,  -5.912965,    0.047,
         1.1500,  -5.908972,    0.047,
         1.2000,  -5.904703,    0.048,
         1.2500,  -5.900576,    0.048,
         1.3000,  -5.896434,    0.049,
         1.3500,  -5.892253,    0.049,
         1.4000,  -5.888054,    0.049,
         1.4500,  -5.883864,    0.049,
         1.5000,  -5.879776,    0.050,
         1.5500,  -5.875555,    0.050,
         1.6000,  -5.871155,    0.051,
         1.6500,  -5.867164,    0.051,
         1.7000,  -5.862925,    0.051,
         1.7500,  -5.858703,    0.051,
         1.8000,  -5.854660,    0.052,
         1.8500,  -5.850402,    0.052,
         1.9000,  -5.846284,    0.053,
         1.9500,  -5.842049,    0.053,
         2.0000,  -5.837906,    0.054,
         2.0500,  -5.833857,    0.054,
         2.1000,  -5.829652,    0.054,
         2.1500,  -5.825610,    0.054,
         2.2000,  -5.821235,    0.055,
         2.2500,  -5.817164,    0.055,
         2.3000,  -5.812829,    0.056,
         2.3500,  -5.808651,    0.056,
         2.4000,  -5.804428,    0.056,
         2.4500,  -5.800282,    0.056,
         2.5000,  -5.796186,    0.057,
         2.5500,  -5.792026,    0.058,
         2.6000,  -5.787856,    0.058,
         2.6500,  -5.783701,    0.058,
         2.7000,  -5.779446,    0.058,
         2.7500,  -5.775451,    0.058,
         2.8000,  -5.771237,    0.059,
         2.8500,  -5.767035,    0.059,
         2.9000,  -5.762872,    0.060,
         2.9500,  -5.758815,    0.060,
         3.0000,  -5.754421,    0.060,
         3.0500,  -5.750206,    0.061,
         3.1000,  -5.746068,    0.061,
         3.1500,  -5.741974,    0.062,
         3.2000,  -5.737764,    0.062,
         3.2500,  -5.733600,    0.062,
         3.3000,  -5.729506,    0.062,
         3.3500,  -5.725320,    0.063,
         3.4000,  -5.721078,    0.063,
         3.4500,  -5.716944,    0.064,
         3.5000,  -5.712907,    0.064,
         3.5500,  -5.708619,    0.064,
         3.6000,  -5.704534,    0.064,
         3.6500,  -5.700337,    0.065,
         3.7000,  -5.696125,    0.065,
         3.7500,  -5.691825,    0.066,
         3.8000,  -5.687740,    0.066,
         3.8500,  -5.683552,    0.066,
         3.9000,  -5.679350,    0.066,
         3.9500,  -5.675163,    0.067,
         4.0000,  -5.671117,    0.067,
         4.0500,  -5.666884,    0.068,
         4.1000,  -5.662799,    0.068,
         4.1500,  -5.658596,    0.068,
         4.2000,  -5.654364,    0.068,
         4.2500,  -5.650260,    0.069,
         4.3000,  -5.646189,    0.069,
         4.3500,  -5.641922,    0.070,
         4.4000,  -5.637603,    0.070,
         4.4500,  -5.633468,    0.070,
         4.5000,  -5.629384,    0.070,
         4.5500,  -5.625139,    0.071,
         4.6000,  -5.621019,    0.072,
         4.6500,  -5.616874,    0.072,
         4.7000,  -5.612619,    0.072,
         4.7500,  -5.608575,    0.072,
         4.8000,  -5.604396,    0.073,
         4.8500,  -5.600211,    0.073,
         4.9000,  -5.596102,    0.074,
         4.9500,  -5.591876,    0.074,
         5.0000,  -5.587783,    0.075,
         5.0500,  -5.583558,    0.075,
         5.1000,  -5.579190,    0.075,
         5.1500,  -5.575114,    0.075,
         5.2000,  -5.570979,    0.076,
         5.2500,  -5.566782,    0.076,
         5.3000,  -5.562627,    0.077,
         5.3500,  -5.558483,    0.077,
         5.4000,  -5.554385,    0.077,
         5.4500,  -5.550104,    0.077,
         5.5000,  -5.546030,    0.078,
         5.5500,  -5.541876,    0.079,
         5.6000,  -5.537675,    0.079,
         5.6500,  -5.533515,    0.079,
         5.7000,  -5.529388,    0.080,
         5.7500,  -5.525045,    0.080,
         5.8000,  -5.520816,    0.081,
         5.8500,  -5.516747,    0.081,
         5.9000,  -5.512615,    0.081,
         5.9500,  -5.508398,    0.081,
         6.0000,  -5.504208,    0.082,
         6.0500,  -5.500095,    0.082,
         6.1000,  -5.495993,    0.083,
         6.1500,  -5.491782,    0.083,
         6.2000,  -5.487655,    0.083,
         6.2500,  -5.483467,    0.084,
         6.3000,  -5.479372,    0.084,
         6.3500,  -5.475170,    0.085,
         6.4000,  -5.470844,    0.085,
         6.4500,  -5.466686,    0.085,
         6.5000,  -5.462528,    0.086,
         6.5500,  -5.458302,    0.086,
         6.6000,  -5.454232,    0.087,
         6.6500,  -5.450043,    0.087,
         6.7000,  -5.445919,    0.087,
         6.7500,  -5.441753,    0.088,
         6.8000,  -5.437552,    0.088,
         6.8500,  -5.433430,    0.089,
         6.9000,  -5.429288,    0.089,
         6.9500,  -5.425149,    0.089,
         7.0000,  -5.420894,    0.089,
         7.0500,  -5.416746,    0.090,
         7.1000,  -5.412417,    0.091,
         7.1500,  -5.408302,    0.091,
         7.2000,  -5.404077,    0.091,
         7.2500,  -5.400124,    0.092,
         7.3000,  -5.395829,    0.092,
         7.3500,  -5.391600,    0.093,
         7.4000,  -5.387510,    0.093,
         7.4500,  -5.383398,    0.093,
         7.5000,  -5.379272,    0.094,
         7.5500,  -5.374991,    0.094,
         7.6000,  -5.371026,    0.095,
         7.6500,  -5.366747,    0.095,
         7.7000,  -5.362402,    0.096,
         7.7500,  -5.358254,    0.096,
         7.8000,  -5.354099,    0.097,
         7.8500,  -5.349938,    0.097,
         7.9000,  -5.345835,    0.098,
         7.9500,  -5.341657,    0.098,
         8.0000,  -5.337484,    0.098,
         8.0500,  -5.333326,    0.099,
         8.1000,  -5.329170,    0.099,
         8.1500,  -5.325016,    0.100,
         8.2000,  -5.320830,    0.100,
         8.2500,  -5.316745,    0.100,
         8.3000,  -5.312486,    0.101,
         8.3500,  -5.308155,    0.102,
         8.4000,  -5.304063,    0.102,
