time,Force,Displacement
         0.0000,  -5.999816,    0.020,
         0.0100,  -5.999804,    0.020,
         0.0200,  -5.999743,    0.020,
         0.0300,  -5.999618,    0.021,
         0.0400,  -5.999427,    0.021,
         0.0500,  -5.999142,    0.021,
         0.0600,  -5.998747,    0.021,
         0.0700,  -5.998260,    0.022,
         0.0800,  -5.997699,    0.022,
         0.0900,  -5.997060,    0.022,
         0.1000,  -5.996360,    0.022,
         0.1100,  -5.995618,    0.023,
         0.1200,  -5.994833,    0.023,
         0.1300,  -5.994027,    0.023,
         0.1400,  -5.993216,    0.024,
         0.1500,  -5.992411,    0.024,
         0.1600,  -5.991607,    0.024,
         0.1700,  -5.990790,    0.024,
         0.1800,  -5.989974,    0.025,
         0.1900,  -5.989149,    0.025,
         0.2000,  -5.988321,    0.026,
         0.2100,  -5.987493,    0.026,
         0.2200,  -5.986667,    0.026,
         0.2300,  -5.985847,    0.026,
         0.2400,  -5.985016,    0.027,
         0.2500,  -5.984179,    0.027,
         0.2600,  -5.983345,    0.028,
         0.2700,  -5.982497,    0.028,
         0.2800,  -5.981648,    0.028,
         0.2900,  -5.980801,    0.028,
         0.3000,  -5.979969,    0.029,
         0.3100,  -5.979142,    0.029,
         0.3200,  -5.978307,    0.029,
         0.3300,  -5.977475,    0.030,
         0.3400,  -5.976636,    0.030,
         0.3500,  -5.975789,    0.030,
         0.3600,  -5.974949,    0.030,
         0.3700,  -5.974122,    0.030,
         0.3800,  -5.973304,    0.031,
         0.3900,  -5.972475,    0.031,
         0.4000,  -5.971644,    0.032,
         0.4100,  -5.970817,    0.032,
         0.4200,  -5.969973,    0.032,
         0.4300,  -5.969117,    0.033,
         0.4400,  -5.968266,    0.033,
         0.4500,  -5.967434,    0.033,
         0.4600,  -5.966616,    0.033,
         0.4700,  -5.965794,    0.034,
         0.4800,  -5.964971,    0.035,
         0.4900,  -5.964129,    0.035,
         0.5000,  -5.963281,    0.035,
         0.5100,  -5.962435,    0.035,
