Time,Displacement,Force
         0.0000,  -5.999616,    0.030,
         0.0100,  -5.999621,    0.030,
         0.0200,  -5.999584,    0.030,
         0.0300,  -5.999483,    0.030,
         0.0400,  -5.999308,    0.030,
         0.0500,  -5.999047,    0.030,
         0.0600,  -5.998668,    0.030,
         0.0700,  -5.998170,    0.030,
         0.0800,  -5.997577,    0.030,
         0.0900,  -5.996900,    0.030,
         0.1000,  -5.996174,    0.030,
         0.1100,  -5.995419,    0.030,
         0.1200,  -5.994639,    0.030,
         0.1300,  -5.993828,    0.031,
         0.1400,  -5.993010,    0.031,
         0.1500,  -5.992210,    0.031,
         0.1600,  -5.991405,    0.031,
         0.1700,  -5.990588,    0.031,
         0.1800,  -5.989766,    0.032,
         0.1900,  -5.988938,    0.032,
         0.2000,  -5.988109,    0.032,
         0.2100,  -5.987273,    0.032,
         0.2200,  -5.986440,    0.033,
         0.2300,  -5.985602,    0.033,
         0.2400,  -5.984757,    0.033,
         0.2500,  -5.983927,    0.033,
         0.2600,  -5.983099,    0.033,
         0.2700,  -5.982261,    0.033,
         0.2800,  -5.981418,    0.034,
         0.2900,  -5.980575,    0.034,
         0.3000,  -5.979742,    0.034,
         0.3100,  -5.978915,    0.035,
         0.3200,  -5.978099,    0.035,
         0.3300,  -5.977281,    0.035,
         0.3400,  -5.976444,    0.035,
         0.3500,  -5.975614,    0.035,
         0.3600,  -5.974788,    0.035,
         0.3700,  -5.973950,    0.036,
         0.3800,  -5.973099,    0.036,
         0.3900,  -5.972257,    0.036,
         0.4000,  -5.971426,    0.037,
         0.4100,  -5.970578,    0.037,
         0.4200,  -5.969727,    0.037,
         0.4300,  -5.968889,    0.037,
         0.4400,  -5.968051,    0.037,
         0.4500,  -5.967218,    0.037,
         0.4600,  -5.966389,    0.037,
         0.4700,  -5.965561,    0.037,
         0.4800,  -5.964734,    0.038,
         0.4900,  -5.963897,    0.038,
         0.5000,  -5.963061,    0.038,
         0.5100,  -5.962227,    0.039,
         0.5200,  -5.961392,    0.039,
         0.5300,  -5.960553,    0.039,
         0.5400,  -5.959711,    0.039,
         0.5500,  -5.958884,    0.039,
         0.5600,  -5.958061,    0.039,
         0.5700,  -5.957234,    0.039,
         0.5800,  -5.956405,    0.039,
         0.5900,  -5.955573,    0.039,
         0.6000,  -5.954738,    0.039,
         0.6100,  -5.953900,    0.040,
         0.6200,  -5.953068,    0.040,
         0.6300,  -5.952244,    0.040,
         0.6400,  -5.951410,    0.040,
         0.6500,  -5.950574,    0.041,
         0.6600,  -5.949734,    0.041,
         0.6700,  -5.948892,    0.041,
         0.6800,  -5.948051,    0.041,
         0.6900,  -5.947211,    0.041,
         0.7000,  -5.946381,    0.041,
         0.7100,  -5.945546,    0.041,
         0.7200,  -5.944714,    0.041,
         0.7300,  -5.943883,    0.042,
         0.7400,  -5.943050,    0.042,
         0.7500,  -5.942219,    0.042,
         0.7600,  -5.941381,    0.042,
         0.7700,  -5.940543,    0.043,
         0.7800,  -5.939708,    0.043,
         0.7900,  -5.938869,    0.043,
         0.8000,  -5.938014,    0.043,
         0.8100,  -5.937138,    0.043,
         0.8200,  -5.936277,    0.043,
         0.8300,  -5.935432,    0.043,
         0.8400,  -5.934581,    0.043,
         0.8500,  -5.933723,    0.043,
         0.8600,  -5.932876,    0.044,
         0.8700,  -5.932038,    0.044,
         0.8800,  -5.931199,    0.044,
         0.8900,  -5.930354,    0.045,
         0.9000,  -5.929522,    0.045,
         0.9100,  -5.928685,    0.045,
         0.9200,  -5.927847,    0.045,
         0.9300,  -5.927019,    0.045,
         0.9400,  -5.926198,    0.045,
         0.9500,  -5.925376,    0.046,
         0.9600,  -5.924543,    0.046,
         0.9700,  -5.923711,    0.046,
         0.9800,  -5.922876,    0.047,
         0.9900,  -5.922033,    0.047,
         1.0000,  -5.921197,    0.047,
         1.0100,  -5.920365,    0.047,
         1.0200,  -5.919538,    0.047,
         1.0300,  -5.918711,    0.047,
         1.0400,  -5.917870,    0.048,
         1.0500,  -5.917035,    0.048,
         1.0600,  -5.916202,    0.048,
         1.0700,  -5.915376,    0.048,
         1.0800,  -5.914548,    0.049,
         1.0900,  -5.913712,    0.049,
         1.1000,  -5.912873,    0.049,
         1.1100,  -5.912032,    0.049,
         1.1200,  -5.911197,    0.049,
         1.1300,  -5.910365,    0.049,
         1.1400,  -5.909520,    0.049,
         1.1500,  -5.908687,    0.049,
         1.1600,  -5.907863,    0.049,
         1.1700,  -5.907041,    0.050,
         1.1800,  -5.906213,    0.050,
         1.1900,  -5.905383,    0.050,
         1.2000,  -5.904556,    0.050,
         1.2100,  -5.903716,    0.051,
         1.2200,  -5.902884,    0.051,
         1.2300,  -5.902059,    0.051,
         1.2400,  -5.901222,    0.051,
         1.2500,  -5.900372,    0.051,
         1.2600,  -5.899521,    0.051,
         1.2700,  -5.898694,    0.051,
         1.2800,  -5.897871,    0.051,
         1.2900,  -5.897038,    0.052,
         1.3000,  -5.896214,    0.052,
         1.3100,  -5.895391,    0.052,
         1.3200,  -5.894555,    0.052,
         1.3300,  -5.893715,    0.053,
         1.3400,  -5.892882,    0.053,
         1.3500,  -5.892051,    0.053,
         1.3600,  -5.891212,    0.053,
         1.3700,  -5.890386,    0.054,
         1.3800,  -5.889560,    0.054,
         1.3900,  -5.888718,    0.054,
         1.4000,  -5.887879,    0.054,
         1.4100,  -5.887046,    0.054,
         1.4200,  -5.886221,    0.054,
         1.4300,  -5.885393,    0.054,
         1.4400,  -5.884560,    0.054,
         1.4500,  -5.883729,    0.055,
         1.4600,  -5.882892,    0.055,
         1.4700,  -5.882055,    0.055,
         1.4800,  -5.881220,    0.056,
         1.4900,  -5.880381,    0.056,
         1.5000,  -5.879546,    0.056,
         1.5100,  -5.878714,    0.056,
         1.5200,  -5.877887,    0.056,
         1.5300,  -5.877040,    0.056,
         1.5400,  -5.876168,    0.056,
         1.5500,  -5.875290,    0.057,
         1.5600,  -5.874417,    0.057,
         1.5700,  -5.873562,    0.057,
         1.5800,  -5.872726,    0.057,
         1.5900,  -5.871894,    0.058,
         1.6000,  -5.871060,    0.058,
         1.6100,  -5.870219,    0.058,
         1.6200,  -5.869382,    0.058,
         1.6300,  -5.868546,    0.058,
         1.6400,  -5.867699,    0.058,
         1.6500,  -5.866858,    0.058,
         1.6600,  -5.866024,    0.059,
         1.6700,  -5.865203,    0.059,
         1.6800,  -5.864385,    0.059,
         1.6900,  -5.863560,    0.060,
         1.7000,  -5.862735,    0.060,
         1.7100,  -5.861900,    0.060,
         1.7200,  -5.861064,    0.060,
         1.7300,  -5.860236,    0.060,
         1.7400,  -5.859410,    0.060,
         1.7500,  -5.858580,    0.060,
         1.7600,  -5.857739,    0.060,
         1.7700,  -5.856912,    0.060,
         1.7800,  -5.856093,    0.061,
         1.7900,  -5.855254,    0.061,
         1.8000,  -5.854411,    0.061,
         1.8100,  -5.853577,    0.061,
         1.8200,  -5.852756,    0.062,
         1.8300,  -5.851920,    0.062,
         1.8400,  -5.851077,    0.062,
         1.8500,  -5.850239,    0.062,
         1.8600,  -5.849399,    0.062,
         1.8700,  -5.848564,    0.062,
         1.8800,  -5.847745,    0.062,
         1.8900,  -5.846920,    0.062,
         1.9000,  -5.846083,    0.063,
         1.9100,  -5.845244,    0.063,
         1.9200,  -5.844421,    0.063,
         1.9300,  -5.843597,    0.064,
         1.9400,  -5.842759,    0.064,
         1.9500,  -5.841926,    0.064,
         1.9600,  -5.841096,    0.064,
         1.9700,  -5.840271,    0.064,
         1.9800,  -5.839438,    0.065,
         1.9900,  -5.838603,    0.065,
         2.0000,  -5.837774,    0.065,
         2.0100,  -5.836934,    0.065,
         2.0200,  -5.836092,    0.066,
         2.0300,  -5.835256,    0.066,
         2.0400,  -5.834427,    0.066,
         2.0500,  -5.833610,    0.066,
         2.0600,  -5.832787,    0.066,
         2.0700,  -5.831970,    0.066,
         2.0800,  -5.831153,    0.066,
         2.0900,  -5.830318,    0.067,
         2.1000,  -5.829472,    0.067,
         2.1100,  -5.828627,    0.067,
         2.1200,  -5.827793,    0.067,
         2.1300,  -5.826953,    0.067,
         2.1400,  -5.826107,    0.068,
         2.1500,  -5.825274,    0.068,
         2.1600,  -5.824442,    0.068,
         2.1700,  -5.823609,    0.068,
         2.1800,  -5.822784,    0.068,
         2.1900,  -5.821962,    0.068,
         2.2000,  -5.821133,    0.068,
         2.2100,  -5.820295,    0.068,
         2.2200,  -5.819470,    0.069,
         2.2300,  -5.818652,    0.069,
         2.2400,  -5.817811,    0.069,
         2.2500,  -5.816957,    0.069,
         2.2600,  -5.816087,    0.070,
         2.2700,  -5.815206,    0.070,
         2.2800,  -5.814328,    0.070,
         2.2900,  -5.813470,    0.070,
         2.3000,  -5.812641,    0.070,
         2.3100,  -5.811804,    0.070,
         2.3200,  -5.810964,    0.071,
         2.3300,  -5.810130,    0.071,
         2.3400,  -5.809296,    0.072,
         2.3500,  -5.808462,    0.072,
         2.3600,  -5.807617,    0.072,
         2.3700,  -5.806782,    0.072,
         2.3800,  -5.805955,    0.072,
         2.3900,  -5.805128,    0.072,
         2.4000,  -5.804302,    0.072,
         2.4100,  -5.803471,    0.073,
         2.4200,  -5.802638,    0.073,
         2.4300,  -5.801802,    0.074,
         2.4400,  -5.800968,    0.074,
         2.4500,  -5.800140,    0.074,
         2.4600,  -5.799303,    0.074,
         2.4700,  -5.798460,    0.074,
         2.4800,  -5.797629,    0.075,
         2.4900,  -5.796805,    0.075,
         2.5000,  -5.795978,    0.075,
         2.5100,  -5.795141,    0.075,
         2.5200,  -5.794318,    0.075,
         2.5300,  -5.793503,    0.075,
         2.5400,  -5.792673,    0.076,
         2.5500,  -5.791834,    0.076,
         2.5600,  -5.790996,    0.076,
         2.5700,  -5.790164,    0.077,
         2.5800,  -5.789330,    0.077,
         2.5900,  -5.788496,    0.077,
         2.6000,  -5.787668,    0.077,
         2.6100,  -5.786826,    0.077,
         2.6200,  -5.785983,    0.077,
         2.6300,  -5.785150,    0.077,
         2.6400,  -5.784322,    0.077,
         2.6500,  -5.783495,    0.077,
         2.6600,  -5.782665,    0.078,
         2.6700,  -5.781852,    0.078,
         2.6800,  -5.781040,    0.078,
         2.6900,  -5.780209,    0.078,
         2.7000,  -5.779371,    0.078,
         2.7100,  -5.778518,    0.079,
         2.7200,  -5.777666,    0.079,
         2.7300,  -5.776829,    0.079,
         2.7400,  -5.776009,    0.079,
         2.7500,  -5.775194,    0.079,
         2.7600,  -5.774362,    0.079,
         2.7700,  -5.773533,    0.079,
         2.7800,  -5.772718,    0.080,
         2.7900,  -5.771904,    0.080,
         2.8000,  -5.771077,    0.080,
         2.8100,  -5.770230,    0.080,
         2.8200,  -5.769393,    0.080,
         2.8300,  -5.768559,    0.081,
         2.8400,  -5.767713,    0.081,
         2.8500,  -5.766872,    0.081,
         2.8600,  -5.766036,    0.081,
         2.8700,  -5.765200,    0.081,
         2.8800,  -5.764366,    0.081,
         2.8900,  -5.763540,    0.082,
         2.9000,  -5.762720,    0.082,
         2.9100,  -5.761876,    0.083,
         2.9200,  -5.761032,    0.083,
         2.9300,  -5.760208,    0.083,
         2.9400,  -5.759388,    0.083,
         2.9500,  -5.758553,    0.083,
         2.9600,  -5.757700,    0.084,
         2.9700,  -5.756838,    0.084,
         2.9800,  -5.755959,    0.085,
         2.9900,  -5.755086,    0.085,
         3.0000,  -5.754248,    0.085,
         3.0100,  -5.753410,    0.085,
         3.0200,  -5.752565,    0.085,
         3.0300,  -5.751724,    0.085,
         3.0400,  -5.750902,    0.085,
         3.0500,  -5.750078,    0.086,
         3.0600,  -5.749235,    0.086,
         3.0700,  -5.748396,    0.086,
         3.0800,  -5.747568,    0.086,
         3.0900,  -5.746736,    0.087,
         3.1000,  -5.745905,    0.087,
         3.1100,  -5.745064,    0.087,
         3.1200,  -5.744229,    0.087,
         3.1300,  -5.743402,    0.087,
         3.1400,  -5.742578,    0.087,
         3.1500,  -5.741759,    0.087,
         3.1600,  -5.740925,    0.088,
         3.1700,  -5.740090,    0.088,
         3.1800,  -5.739256,    0.088,
         3.1900,  -5.738421,    0.089,
         3.2000,  -5.737588,    0.089,
         3.2100,  -5.736751,    0.089,
         3.2200,  -5.735917,    0.089,
         3.2300,  -5.735079,    0.089,
         3.2400,  -5.734245,    0.089,
         3.2500,  -5.733427,    0.089,
         3.2600,  -5.732604,    0.089,
         3.2700,  -5.731779,    0.089,
         3.2800,  -5.730948,    0.090,
         3.2900,  -5.730116,    0.090,
         3.3000,  -5.729291,    0.090,
         3.3100,  -5.728450,    0.090,
         3.3200,  -5.727600,    0.091,
         3.3300,  -5.726761,    0.091,
         3.3400,  -5.725934,    0.091,
         3.3500,  -5.725106,    0.091,
         3.3600,  -5.724265,    0.091,
         3.3700,  -5.723444,    0.091,
         3.3800,  -5.722633,    0.091,
         3.3900,  -5.721806,    0.092,
         3.4000,  -5.720971,    0.092,
         3.4100,  -5.720128,    0.093,
         3.4200,  -5.719287,    0.093,
         3.4300,  -5.718441,    0.093,
         3.4400,  -5.717607,    0.093,
         3.4500,  -5.716787,    0.093,
         3.4600,  -5.715955,    0.093,
         3.4700,  -5.715122,    0.094,
         3.4800,  -5.714293,    0.094,
         3.4900,  -5.713464,    0.094,
         3.5000,  -5.712641,    0.095,
         3.5100,  -5.711815,    0.095,
         3.5200,  -5.710993,    0.095,
         3.5300,  -5.710168,    0.096,
         3.5400,  -5.709335,    0.096,
         3.5500,  -5.708510,    0.096,
         3.5600,  -5.707685,    0.096,
         3.5700,  -5.706862,    0.096,
         3.5800,  -5.706028,    0.097,
         3.5900,  -5.705179,    0.097,
         3.6000,  -5.704333,    0.097,
         3.6100,  -5.703495,    0.098,
         3.6200,  -5.702667,    0.098,
         3.6300,  -5.701841,    0.098,
         3.6400,  -5.701010,    0.098,
         3.6500,  -5.700170,    0.098,
         3.6600,  -5.699313,    0.098,
         3.6700,  -5.698450,    0.099,
         3.6800,  -5.697588,    0.099,
         3.6900,  -5.696712,    0.099,
         3.7000,  -5.695843,    0.099,
         3.7100,  -5.694982,    0.100,
         3.7200,  -5.694140,    0.100,
         3.7300,  -5.693309,    0.100,
         3.7400,  -5.692477,    0.100,
         3.7500,  -5.691659,    0.100,
         3.7600,  -5.690839,    0.100,
         3.7700,  -5.690018,    0.100,
         3.7800,  -5.689185,    0.101,
         3.7900,  -5.688344,    0.101,
         3.8000,  -5.687510,    0.101,
         3.8100,  -5.686672,    0.102,
         3.8200,  -5.685836,    0.102,
         3.8300,  -5.684998,    0.102,
         3.8400,  -5.684162,    0.102,
         3.8500,  -5.683337,    0.102,
         3.8600,  -5.682507,    0.103,
         3.8700,  -5.681678,    0.103,
         3.8800,  -5.680850,    0.103,
         3.8900,  -5.680024,    0.104,
         3.9000,  -5.679203,    0.104,
         3.9100,  -5.678370,    0.104,
         3.9200,  -5.677536,    0.104,
         3.9300,  -5.676698,    0.104,
         3.9400,  -5.675859,    0.104,
         3.9500,  -5.675032,    0.105,
         3.9600,  -5.674207,    0.105,
         3.9700,  -5.673387,    0.105,
         3.9800,  -5.672561,    0.105,
         3.9900,  -5.671725,    0.106,
         4.0000,  -5.670885,    0.106,
         4.0100,  -5.670036,    0.106,
         4.0200,  -5.669205,    0.106,
         4.0300,  -5.668384,    0.106,
         4.0400,  -5.667560,    0.106,
         4.0500,  -5.666740,    0.107,
         4.0600,  -5.665913,    0.107,
         4.0700,  -5.665086,    0.107,
         4.0800,  -5.664244,    0.108,
         4.0900,  -5.663398,    0.108,
         4.1000,  -5.662563,    0.108,
         4.1100,  -5.661731,    0.108,
         4.1200,  -5.660914,    0.108,
         4.1300,  -5.660089,    0.109,
         4.1400,  -5.659246,    0.109,
         4.1500,  -5.658400,    0.109,
         4.1600,  -5.657553,    0.110,
         4.1700,  -5.656717,    0.110,
         4.1800,  -5.655899,    0.110,
         4.1900,  -5.655088,    0.110,
         4.2000,  -5.654278,    0.110,
         4.2100,  -5.653450,    0.110,
         4.2200,  -5.652623,    0.111,
         4.2300,  -5.651794,    0.111,
         4.2400,  -5.650959,    0.111,
         4.2500,  -5.650124,    0.112,
         4.2600,  -5.649288,    0.112,
         4.2700,  -5.648454,    0.112,
         4.2800,  -5.647619,    0.112,
         4.2900,  -5.646787,    0.112,
         4.3000,  -5.645969,    0.113,
         4.3100,  -5.645143,    0.113,
         4.3200,  -5.644317,    0.113,
