time,Displacement,Force
         0.0000,  -5.999816,   -0.001,
         0.0500,  -5.999329,   -0.001,
         0.1000,  -5.996415,   -0.001,
         0.1500,  -5.992378,   -0.001,
         0.2000,  -5.988293,   -0.001,
         0.2500,  -5.984100,    0.000,
         0.3000,  -5.979976,    0.000,
         0.3500,  -5.975768,    0.000,
         0.4000,  -5.971595,    0.000,
         0.4500,  -5.967418,    0.000,
         0.5000,  -5.963260,    0.000,
         0.5500,  -5.959081,    0.001,
         0.6000,  -5.954943,    0.001,
         0.6500,  -5.950732,    0.001,
         0.7000,  -5.946583,    0.001,
         0.7500,  -5.942399,    0.001,
         0.8000,  -5.938237,    0.001,
         0.8500,  -5.933897,    0.002,
         0.9000,  -5.929740,    0.002,
         0.9500,  -5.925534,    0.002,
         1.0000,  -5.921402,    0.003,
         1.0500,  -5.917212,    0.003,
         1.1000,  -5.913079,    0.003,
         1.1500,  -5.908906,    0.004,
         1.2000,  -5.904715,    0.004,
         1.2500,  -5.900581,    0.004,
         1.3000,  -5.896400,    0.005,
         1.3500,  -5.892271,    0.005,
         1.4000,  -5.888082,    0.005,
         1.4500,  -5.883914,    0.005,
         1.5000,  -5.879779,    0.005,
         1.5500,  -5.875455,    0.006,
         1.6000,  -5.871233,    0.006,
         1.6500,  -5.867100,    0.006,
         1.7000,  -5.862939,    0.006,
         1.7500,  -5.858750,    0.007,
         1.8000,  -5.854583,    0.007,
         1.8500,  -5.850430,    0.007,
         1.9000,  -5.846310,    0.007,
         1.9500,  -5.842107,    0.007,
         2.0000,  -5.837932,    0.007,
         2.0500,  -5.833834,    0.007,
         2.1000,  -5.829614,    0.008,
         2.1500,  -5.825474,    0.008,
         2.2000,  -5.821312,    0.008,
         2.2500,  -5.817144,    0.008,
         2.3000,  -5.812841,    0.009,
         2.3500,  -5.808630,    0.009,
         2.4000,  -5.804478,    0.009,
         2.4500,  -5.800342,    0.009,
         2.5000,  -5.796184,    0.009,
         2.5500,  -5.792007,    0.009,
         2.6000,  -5.787860,    0.009,
         2.6500,  -5.783724,    0.010,
         2.7000,  -5.779500,    0.010,
         2.7500,  -5.775379,    0.010,
         2.8000,  -5.771223,    0.010,
         2.8500,  -5.767069,    0.011,
         2.9000,  -5.762918,    0.011,
         2.9500,  -5.758741,    0.011,
         3.0000,  -5.754458,    0.012,
         3.0500,  -5.750251,    0.012,
         3.1000,  -5.746081,    0.012,
         3.1500,  -5.741962,    0.012,
         3.2000,  -5.737725,    0.012,
         3.2500,  -5.733609,    0.012,
         3.3000,  -5.729464,    0.012,
         3.3500,  -5.725318,    0.012,
         3.4000,  -5.721163,    0.013,
         3.4500,  -5.716970,    0.014,
         3.5000,  -5.712827,    0.014,
         3.5500,  -5.708686,    0.014,
         3.6000,  -5.704536,    0.014,
         3.6500,  -5.700333,    0.014,
         3.7000,  -5.696068,    0.014,
         3.7500,  -5.691835,    0.014,
         3.8000,  -5.687680,    0.015,
         3.8500,  -5.683549,    0.015,
         3.9000,  -5.679383,    0.016,
         3.9500,  -5.675250,    0.016,
         4.0000,  -5.671070,    0.016,
         4.0500,  -5.666927,    0.016,
         4.1000,  -5.662766,    0.016,
         4.1500,  -5.658610,    0.017,
         4.2000,  -5.654430,    0.017,
         4.2500,  -5.650319,    0.017,
         4.3000,  -5.646133,    0.018,
         4.3500,  -5.641943,    0.018,
         4.4000,  -5.637657,    0.018,
         4.4500,  -5.633489,    0.018,
         4.5000,  -5.629299,    0.018,
         4.5500,  -5.625170,    0.018,
         4.6000,  -5.620989,    0.018,
         4.6500,  -5.616872,    0.019,
         4.7000,  -5.612703,    0.019,
         4.7500,  -5.608568,    0.019,
         4.8000,  -5.604358,    0.019,
         4.8500,  -5.600237,    0.020,
         4.9000,  -5.596082,    0.020,
         4.9500,  -5.591928,    0.020,
         5.0000,  -5.587765,    0.020,
         5.0500,  -5.583499,    0.020,
         5.1000,  -5.579264,    0.020,
         5.1500,  -5.575120,    0.020,
         5.2000,  -5.570952,    0.021,
         5.2500,  -5.566811,    0.021,
         5.3000,  -5.562639,    0.021,
         5.3500,  -5.558488,    0.022,
         5.4000,  -5.554331,    0.022,
         5.4500,  -5.550158,    0.022,
         5.5000,  -5.545991,    0.022,
         5.5500,  -5.541879,    0.022,
         5.6000,  -5.537691,    0.023,
         5.6500,  -5.533529,    0.023,
         5.7000,  -5.529367,    0.023,
         5.7500,  -5.525061,    0.024,
         5.8000,  -5.520878,    0.024,
         5.8500,  -5.516741,    0.024,
         5.9000,  -5.512570,    0.024,
         5.9500,  -5.508448,    0.024,
         6.0000,  -5.504271,    0.024,
         6.0500,  -5.500113,    0.025,
         6.1000,  -5.495961,    0.025,
         6.1500,  -5.491834,    0.025,
         6.2000,  -5.487641,    0.026,
         6.2500,  -5.483530,    0.026,
         6.3000,  -5.479333,    0.026,
         6.3500,  -5.475174,    0.026,
         6.4000,  -5.470873,    0.026,
         6.4500,  -5.466662,    0.026,
         6.5000,  -5.462534,    0.027,
         6.5500,  -5.458372,    0.027,
         6.6000,  -5.454208,    0.028,
         6.6500,  -5.450094,    0.028,
         6.7000,  -5.445873,    0.028,
         6.7500,  -5.441743,    0.028,
         6.8000,  -5.437603,    0.028,
         6.8500,  -5.433417,    0.029,
         6.9000,  -5.429290,    0.029,
         6.9500,  -5.425130,    0.029,
         7.0000,  -5.420949,    0.030,
         7.0500,  -5.416630,    0.030,
         7.1000,  -5.412488,    0.030,
         7.1500,  -5.408319,    0.030,
         7.2000,  -5.404127,    0.030,
         7.2500,  -5.400014,    0.030,
         7.3000,  -5.395841,    0.030,
         7.3500,  -5.391685,    0.031,
         7.4000,  -5.387534,    0.031,
         7.4500,  -5.383373,    0.032,
         7.5000,  -5.379231,    0.032,
         7.5500,  -5.375057,    0.033,
         7.6000,  -5.370905,    0.033,
         7.6500,  -5.366762,    0.033,
         7.7000,  -5.362455,    0.033,
         7.7500,  -5.358258,    0.033,
         7.8000,  -5.354094,    0.034,
         7.8500,  -5.349951,    0.034,
         7.9000,  -5.345783,    0.035,
         7.9500,  -5.341648,    0.035,
         8.0000,  -5.337489,    0.035,
         8.0500,  -5.333321,    0.035,
         8.1000,  -5.329176,    0.035,
         8.1500,  -5.325011,    0.035,
         8.2000,  -5.320885,    0.035,
         8.2500,  -5.316700,    0.036,
         8.3000,  -5.312509,    0.036,
         8.3500,  -5.308227,    0.037,
         8.4000,  -5.304075,    0.037,
         8.4500,  -5.299907,    0.037,
         8.5000,  -5.295726,    0.037,
         8.5500,  -5.291592,    0.037,
         8.6000,  -5.287466,    0.037,
         8.6500,  -5.283279,    0.038,
         8.7000,  -5.279143,    0.038,
         8.7500,  -5.274991,    0.038,
         8.8000,  -5.270794,    0.039,
         8.8500,  -5.266684,    0.039,
         8.9000,  -5.262531,    0.039,
         8.9500,  -5.258254,    0.039,
         9.0000,  -5.254020,    0.039,
         9.0500,  -5.249854,    0.040,
         9.1000,  -5.245698,    0.040,
         9.1500,  -5.241546,    0.041,
         9.2000,  -5.237403,    0.041,
         9.2500,  -5.233252,    0.041,
         9.3000,  -5.229087,    0.041,
         9.3500,  -5.224955,    0.042,
         9.4000,  -5.220792,    0.042,
         9.4500,  -5.216643,    0.043,
         9.5000,  -5.212513,    0.043,
         9.5500,  -5.208302,    0.043,
         9.6000,  -5.203960,    0.044,
         9.6500,  -5.199851,    0.044,
         9.7000,  -5.195696,    0.044,
         9.7500,  -5.191531,    0.044,
         9.8000,  -5.187398,    0.045,
         9.8500,  -5.183230,    0.045,
         9.9000,  -5.179067,    0.045,
         9.9500,  -5.174897,    0.045,
        10.0000,  -5.170771,    0.046,
        10.0500,  -5.166613,    0.046,
        10.1000,  -5.162456,    0.046,
        10.1500,  -5.158323,    0.047,
        10.2000,  -5.154013,    0.047,
        10.2500,  -5.149807,    0.047,
        10.3000,  -5.145645,    0.047,
        10.3500,  -5.141494,    0.047,
        10.4000,  -5.137340,    0.047,
        10.4500,  -5.133198,    0.048,
        10.5000,  -5.129057,    0.048,
        10.5500,  -5.124927,    0.049,
        10.6000,  -5.120724,    0.049,
        10.6500,  -5.116593,    0.049,
        10.7000,  -5.112430,    0.049,
        10.7500,  -5.108275,    0.050,
        10.8000,  -5.104041,    0.050,
        10.8500,  -5.099798,    0.050,
        10.9000,  -5.095649,    0.051,
        10.9500,  -5.091476,    0.051,
        11.0000,  -5.087311,    0.051,
        11.0500,  -5.083161,    0.052,
        11.1000,  -5.079042,    0.053,
        11.1500,  -5.074864,    0.053,
        11.2000,  -5.070732,    0.054,
        11.2500,  -5.066535,    0.054,
        11.3000,  -5.062416,    0.054,
        11.3500,  -5.058288,    0.055,
        11.4000,  -5.054034,    0.055,
        11.4500,  -5.049785,    0.056,
        11.5000,  -5.045592,    0.056,
        11.5500,  -5.041479,    0.056,
        11.6000,  -5.037315,    0.056,
