time,Displacement,Force
         0.0000,  -5.999808,   -0.003,
         0.0500,  -5.999074,   -0.003,
         0.1000,  -5.996345,   -0.003,
         0.1500,  -5.992421,   -0.003,
         0.2000,  -5.988290,   -0.002,
         0.2500,  -5.984147,   -0.002,
         0.3000,  -5.979977,   -0.002,
         0.3500,  -5.975793,   -0.001,
         0.4000,  -5.971611,   -0.001,
         0.4500,  -5.967441,   -0.001,
         0.5000,  -5.963284,   -0.001,
         0.5500,  -5.959090,   -0.001,
         0.6000,  -5.954951,    0.000,
         0.6500,  -5.950781,    0.000,
         0.7000,  -5.946598,    0.000,
         0.7500,  -5.942459,    0.000,
         0.8000,  -5.938254,    0.000,
         0.8500,  -5.933925,    0.000,
         0.9000,  -5.929748,    0.001,
         0.9500,  -5.925579,    0.001,
         1.0000,  -5.921414,    0.001,
         1.0500,  -5.917234,    0.001,
         1.1000,  -5.913091,    0.001,
         1.1500,  -5.908909,    0.002,
         1.2000,  -5.904743,    0.002,
         1.2500,  -5.900606,    0.002,
         1.3000,  -5.896425,    0.003,
         1.3500,  -5.892285,    0.003,
         1.4000,  -5.888103,    0.003,
         1.4500,  -5.883921,    0.004,
         1.5000,  -5.879760,    0.004,
         1.5500,  -5.875497,    0.005,
         1.6000,  -5.871275,    0.005,
         1.6500,  -5.867111,    0.005,
         1.7000,  -5.862937,    0.005,
         1.7500,  -5.858784,    0.005,
         1.8000,  -5.854632,    0.006,
         1.8500,  -5.850445,    0.006,
         1.9000,  -5.846294,    0.007,
         1.9500,  -5.842115,    0.007,
         2.0000,  -5.837963,    0.007,
         2.0500,  -5.833813,    0.007,
         2.1000,  -5.829647,    0.007,
         2.1500,  -5.825491,    0.007,
         2.2000,  -5.821328,    0.007,
         2.2500,  -5.817179,    0.008,
         2.3000,  -5.812850,    0.008,
         2.3500,  -5.808651,    0.009,
         2.4000,  -5.804497,    0.009,
         2.4500,  -5.800317,    0.009,
         2.5000,  -5.796216,    0.009,
         2.5500,  -5.792008,    0.009,
         2.6000,  -5.787871,    0.009,
         2.6500,  -5.783713,    0.010,
         2.7000,  -5.779557,    0.010,
         2.7500,  -5.775401,    0.010,
         2.8000,  -5.771251,    0.011,
         2.8500,  -5.767057,    0.011,
         2.9000,  -5.762895,    0.011,
         2.9500,  -5.758751,    0.012,
         3.0000,  -5.754448,    0.012,
         3.0500,  -5.750228,    0.012,
         3.1000,  -5.746106,    0.012,
         3.1500,  -5.741927,    0.012,
         3.2000,  -5.737826,    0.013,
         3.2500,  -5.733625,    0.013,
         3.3000,  -5.729455,    0.013,
         3.3500,  -5.725301,    0.014,
         3.4000,  -5.721175,    0.014,
         3.4500,  -5.716974,    0.014,
         3.5000,  -5.712849,    0.014,
         3.5500,  -5.708652,    0.014,
         3.6000,  -5.704584,    0.015,
         3.6500,  -5.700340,    0.015,
         3.7000,  -5.696144,    0.016,
         3.7500,  -5.691846,    0.016,
         3.8000,  -5.687699,    0.016,
         3.8500,  -5.683534,    0.016,
         3.9000,  -5.679379,    0.017,
         3.9500,  -5.675307,    0.017,
         4.0000,  -5.671067,    0.018,
         4.0500,  -5.666911,    0.018,
         4.1000,  -5.662772,    0.018,
         4.1500,  -5.658625,    0.018,
         4.2000,  -5.654456,    0.018,
         4.2500,  -5.650349,    0.018,
         4.3000,  -5.646141,    0.019,
         4.3500,  -5.641973,    0.019,
         4.4000,  -5.637643,    0.020,
         4.4500,  -5.633511,    0.020,
         4.5000,  -5.629313,    0.020,
         4.5500,  -5.625189,    0.020,
         4.6000,  -5.620983,    0.020,
         4.6500,  -5.616906,    0.020,
         4.7000,  -5.612711,    0.021,
         4.7500,  -5.608563,    0.021,
         4.8000,  -5.604390,    0.022,
         4.8500,  -5.600247,    0.022,
         4.9000,  -5.596089,    0.022,
         4.9500,  -5.591897,    0.022,
         5.0000,  -5.587781,    0.022,
         5.0500,  -5.583568,    0.023,
         5.1000,  -5.579262,    0.023,
         5.1500,  -5.575121,    0.024,
         5.2000,  -5.570970,    0.024,
         5.2500,  -5.566816,    0.024,
         5.3000,  -5.562646,    0.024,
         5.3500,  -5.558476,    0.024,
         5.4000,  -5.554366,    0.025,
         5.4500,  -5.550149,    0.025,
         5.5000,  -5.546039,    0.026,
         5.5500,  -5.541886,    0.026,
         5.6000,  -5.537738,    0.026,
         5.6500,  -5.533531,    0.026,
         5.7000,  -5.529399,    0.026,
         5.7500,  -5.525095,    0.027,
         5.8000,  -5.520877,    0.027,
         5.8500,  -5.516757,    0.028,
         5.9000,  -5.512571,    0.028,
         5.9500,  -5.508420,    0.028,
         6.0000,  -5.504280,    0.028,
         6.0500,  -5.500151,    0.028,
         6.1000,  -5.495959,    0.029,
         6.1500,  -5.491819,    0.030,
         6.2000,  -5.487679,    0.030,
         6.2500,  -5.483521,    0.030,
         6.3000,  -5.479309,    0.030,
         6.3500,  -5.475182,    0.030,
         6.4000,  -5.470865,    0.031,
         6.4500,  -5.466690,    0.031,
         6.5000,  -5.462531,    0.031,
         6.5500,  -5.458372,    0.032,
         6.6000,  -5.454236,    0.032,
         6.6500,  -5.450074,    0.033,
         6.7000,  -5.445902,    0.033,
         6.7500,  -5.441766,    0.033,
         6.8000,  -5.437592,    0.033,
         6.8500,  -5.433415,    0.034,
         6.9000,  -5.429301,    0.034,
         6.9500,  -5.425110,    0.035,
         7.0000,  -5.420965,    0.035,
         7.0500,  -5.416691,    0.035,
         7.1000,  -5.412468,    0.035,
         7.1500,  -5.408314,    0.035,
         7.2000,  -5.404185,    0.036,
         7.2500,  -5.400017,    0.036,
         7.3000,  -5.395842,    0.037,
         7.3500,  -5.391690,    0.037,
         7.4000,  -5.387542,    0.037,
         7.4500,  -5.383368,    0.037,
         7.5000,  -5.379231,    0.037,
         7.5500,  -5.375095,    0.037,
         7.6000,  -5.370942,    0.038,
         7.6500,  -5.366758,    0.038,
         7.7000,  -5.362435,    0.039,
         7.7500,  -5.358278,    0.039,
         7.8000,  -5.354088,    0.039,
         7.8500,  -5.349936,    0.039,
         7.9000,  -5.345812,    0.040,
         7.9500,  -5.341632,    0.040,
         8.0000,  -5.337467,    0.041,
         8.0500,  -5.333372,    0.041,
         8.1000,  -5.329188,    0.041,
         8.1500,  -5.325022,    0.041,
         8.2000,  -5.320878,    0.042,
         8.2500,  -5.316726,    0.043,
         8.3000,  -5.312508,    0.043,
         8.3500,  -5.308234,    0.043,
         8.4000,  -5.304064,    0.043,
         8.4500,  -5.299908,    0.044,
         8.5000,  -5.295733,    0.045,
         8.5500,  -5.291627,    0.045,
         8.6000,  -5.287454,    0.045,
         8.6500,  -5.283294,    0.045,
         8.7000,  -5.279146,    0.045,
         8.7500,  -5.274978,    0.046,
         8.8000,  -5.270813,    0.046,
