time,Displacement,Force
         0.0000,  -6.000095,    0.063,
         0.0500,  -5.999575,    0.063,
         0.1000,  -5.996612,    0.063,
         0.1500,  -5.992574,    0.063,
         0.2000,  -5.988435,    0.064,
         0.2500,  -5.984279,    0.064,
         0.3000,  -5.980123,    0.064,
         0.3500,  -5.975943,    0.064,
         0.4000,  -5.971768,    0.065,
         0.4500,  -5.967587,    0.065,
         0.5000,  -5.963428,    0.065,
         0.5500,  -5.959291,    0.066,
         0.6000,  -5.955120,    0.066,
         0.6500,  -5.950949,    0.066,
         0.7000,  -5.946766,    0.066,
         0.7500,  -5.942605,    0.066,
         0.8000,  -5.938415,    0.066,
         0.8500,  -5.934149,    0.066,
         0.9000,  -5.929911,    0.067,
         0.9500,  -5.925767,    0.067,
         1.0000,  -5.921584,    0.067,
         1.0500,  -5.917284,    0.068,
         1.1000,  -5.913285,    0.068,
         1.1500,  -5.909159,    0.068,
         1.2000,  -5.904917,    0.068,
         1.2500,  -5.900760,    0.068,
         1.3000,  -5.896480,    0.068,
         1.3500,  -5.892411,    0.068,
         1.4000,  -5.888286,    0.068,
         1.4500,  -5.884197,    0.069,
         1.5000,  -5.879910,    0.069,
         1.5500,  -5.875663,    0.069,
         1.6000,  -5.871534,    0.069,
         1.6500,  -5.867171,    0.069,
         1.7000,  -5.863180,    0.070,
         1.7500,  -5.858948,    0.070,
         1.8000,  -5.854774,    0.070,
         1.8500,  -5.850677,    0.070,
         1.9000,  -5.846410,    0.070,
         1.9500,  -5.842339,    0.070,
         2.0000,  -5.838084,    0.070,
         2.0500,  -5.834027,    0.070,
         2.1000,  -5.829817,    0.071,
         2.1500,  -5.825689,    0.071,
         2.2000,  -5.821501,    0.071,
         2.2500,  -5.817331,    0.071,
         2.3000,  -5.813044,    0.072,
         2.3500,  -5.808823,    0.072,
         2.4000,  -5.804672,    0.072,
         2.4500,  -5.800526,    0.072,
         2.5000,  -5.796386,    0.072,
         2.5500,  -5.792230,    0.072,
         2.6000,  -5.788058,    0.072,
         2.6500,  -5.783878,    0.072,
         2.7000,  -5.779751,    0.073,
         2.7500,  -5.775558,    0.073,
         2.8000,  -5.771440,    0.073,
         2.8500,  -5.767278,    0.074,
         2.9000,  -5.763107,    0.074,
         2.9500,  -5.758951,    0.074,
         3.0000,  -5.754658,    0.075,
         3.0500,  -5.750447,    0.075,
         3.1000,  -5.746276,    0.075,
         3.1500,  -5.742129,    0.075,
         3.2000,  -5.737974,    0.075,
         3.2500,  -5.733815,    0.075,
         3.3000,  -5.729664,    0.076,
         3.3500,  -5.725484,    0.076,
         3.4000,  -5.721350,    0.076,
         3.4500,  -5.717189,    0.077,
         3.5000,  -5.713051,    0.077,
         3.5500,  -5.708889,    0.077,
         3.6000,  -5.704737,    0.077,
         3.6500,  -5.700554,    0.077,
         3.7000,  -5.696258,    0.077,
         3.7500,  -5.692086,    0.078,
         3.8000,  -5.687891,    0.078,
         3.8500,  -5.683733,    0.078,
         3.9000,  -5.679583,    0.078,
         3.9500,  -5.675420,    0.078,
         4.0000,  -5.671273,    0.079,
         4.0500,  -5.667117,    0.079,
         4.1000,  -5.662974,    0.079,
         4.1500,  -5.658795,    0.079,
         4.2000,  -5.654634,    0.079,
         4.2500,  -5.650508,    0.079,
         4.3000,  -5.646330,    0.079,
         4.3500,  -5.642174,    0.079,
         4.4000,  -5.637854,    0.080,
         4.4500,  -5.633673,    0.080,
         4.5000,  -5.629532,    0.080,
         4.5500,  -5.625380,    0.081,
         4.6000,  -5.621194,    0.081,
         4.6500,  -5.617049,    0.081,
         4.7000,  -5.612919,    0.081,
         4.7500,  -5.608723,    0.081,
         4.8000,  -5.604601,    0.081,
         4.8500,  -5.600422,    0.081,
         4.9000,  -5.596292,    0.082,
         4.9500,  -5.592127,    0.082,
         5.0000,  -5.587959,    0.082,
         5.0500,  -5.583738,    0.083,
         5.1000,  -5.579468,    0.083,
         5.1500,  -5.575300,    0.083,
         5.2000,  -5.571155,    0.083,
         5.2500,  -5.566975,    0.083,
