time,Displacement,Force
         0.0000,  -5.999792,    0.033,
         0.0100,  -5.999795,    0.033,
         0.0200,  -5.999789,    0.033,
         0.0300,  -5.999735,    0.033,
         0.0400,  -5.999581,    0.033,
         0.0500,  -5.999301,    0.033,
         0.0600,  -5.998873,    0.033,
         0.0700,  -5.998314,    0.033,
         0.0800,  -5.997669,    0.033,
         0.0900,  -5.996958,    0.033,
         0.1000,  -5.996200,    0.033,
         0.1100,  -5.995415,    0.034,
         0.1200,  -5.994626,    0.034,
         0.1300,  -5.993826,    0.034,
         0.1400,  -5.993014,    0.034,
         0.1500,  -5.992212,    0.034,
         0.1600,  -5.991404,    0.034,
         0.1700,  -5.990577,    0.035,
         0.1800,  -5.989738,    0.035,
         0.1900,  -5.988904,    0.035,
         0.2000,  -5.988077,    0.035,
         0.2100,  -5.987239,    0.035,
         0.2200,  -5.986406,    0.035,
         0.2300,  -5.985585,    0.035,
         0.2400,  -5.984756,    0.035,
         0.2500,  -5.983919,    0.035,
         0.2600,  -5.983079,    0.035,
         0.2700,  -5.982243,    0.036,
         0.2800,  -5.981405,    0.036,
         0.2900,  -5.980567,    0.036,
         0.3000,  -5.979740,    0.036,
         0.3100,  -5.978910,    0.036,
         0.3200,  -5.978080,    0.037,
         0.3300,  -5.977249,    0.037,
         0.3400,  -5.976415,    0.037,
         0.3500,  -5.975585,    0.037,
         0.3600,  -5.974746,    0.037,
         0.3700,  -5.973902,    0.037,
         0.3800,  -5.973060,    0.037,
         0.3900,  -5.972223,    0.037,
         0.4000,  -5.971397,    0.037,
         0.4100,  -5.970566,    0.037,
         0.4200,  -5.969743,    0.037,
         0.4300,  -5.968913,    0.037,
         0.4400,  -5.968068,    0.037,
         0.4500,  -5.967228,    0.037,
         0.4600,  -5.966393,    0.037,
         0.4700,  -5.965555,    0.038,
         0.4800,  -5.964709,    0.038,
         0.4900,  -5.963870,    0.038,
         0.5000,  -5.963045,    0.038,
         0.5100,  -5.962214,    0.038,
         0.5200,  -5.961384,    0.038,
         0.5300,  -5.960558,    0.039,
         0.5400,  -5.959726,    0.039,
         0.5500,  -5.958898,    0.039,
         0.5600,  -5.958065,    0.039,
         0.5700,  -5.957230,    0.039,
         0.5800,  -5.956388,    0.039,
         0.5900,  -5.955540,    0.039,
         0.6000,  -5.954699,    0.039,
